group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,1,“khiêu vũ / nhảy” là từ nào?,“khiêu vũ / nhảy” là từ nào?,ダンス,やきゅう,音楽（おんがく）,うた
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,2,“âm nhạc” là từ nào?,“âm nhạc” là từ nào?,音楽（おんがく）,うた,クラシック,ジャズ
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,3,“bài hát / ca hát” là từ nào?,“bài hát / ca hát” là từ nào?,うた,音楽（おんがく）,コンサート,カラオケ
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,4,“nhạc cổ điển” là từ nào?,“nhạc cổ điển” là từ nào?,クラシック,ジャズ,コンサート,かぶき
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,5,“nhạc jazz” là từ nào?,“nhạc jazz” là từ nào?,ジャズ,クラシック,カラオケ,うた
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,6,“buổi hòa nhạc” là từ nào?,“buổi hòa nhạc” là từ nào?,コンサート,カラオケ,クラシック,かぶき
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,7,“tranh” là từ nào?,“tranh” là từ nào?,絵（え）,字（じ）,かんじ,ひらがな
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,8,“chữ” là từ nào?,“chữ” là từ nào?,字（じ）,絵（え）,かんじ,ローマじ
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,9,“chữ Hiragana” là từ nào?,“chữ Hiragana” là từ nào?,ひらがな,かたかな,かんじ,ローマじ
8,Việt → Nhật / âm nhạc và chữ viết,Mina bài 9,10,“chữ Katakana” là từ nào?,“chữ Katakana” là từ nào?,かたかな,ひらがな,かんじ,ローマじ
