group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
19,Phân biệt từ dễ nhầm,Mina bài 21,1,思います（おもいます） và 言います（いいます） khác nhau thế nào?,Omoimasu v iimasu khc nhau th no?,思います（おもいます） và 言います（いいます） khác nhau thế nào?,思います là nghĩ; 言います là nói,思います là nói; 言います là nghĩ,Cả hai đều là thắng,Cả hai đều là đủ
19,Phân biệt từ dễ nhầm,Mina bài 21,2,本当（ほんとう） và うそ khác nhau thế nào?,Hontou v uso khc nhau th no?,本当（ほんとう） và うそ khác nhau thế nào?,本当 là thật; うそ là nói dối,本当 là nói dối; うそ là thật,Cả hai đều là ý kiến,Cả hai đều là trận đấu
19,Phân biệt từ dễ nhầm,Mina bài 21,3,私（わたし）もそう思います và 私（わたし）はそう思いません khác nhau thế nào?,Watashimosouimasu v watashihasouimasen khc nhau th no?,私（わたし）もそう思います và 私（わたし）はそう思いません khác nhau thế nào?,Câu đầu là đồng ý; câu sau là không đồng ý,Câu đầu là không đồng ý; câu sau là đồng ý,Cả hai đều là hỏi ý kiến,Cả hai đều là tin tức
19,Phân biệt từ dễ nhầm,Mina bài 21,4,足ります（たります） và 役に立ちます（やくにたちます） khác nhau thế nào?,Tarimasu v yakunitachimasu khc nhau th no?,足ります（たります） và 役に立ちます（やくにたちます） khác nhau thế nào?,足ります là đủ; 役に立ちます là có ích,足ります là có ích; 役に立ちます là đủ,Cả hai đều là lãng phí,Cả hai đều là bất tiện
19,Phân biệt từ dễ nhầm,Mina bài 21,5,役に立ちます（やくにたちます） và むだ khác nhau thế nào?,Yakunitachimasu v muda khc nhau th no?,役に立ちます（やくにたちます） và むだ khác nhau thế nào?,役に立ちます là có ích; むだ là vô ích,役に立ちます là vô ích; むだ là có ích,Cả hai đều là chắc chắn,Cả hai đều là tất nhiên
19,Phân biệt từ dễ nhầm,Mina bài 21,6,たぶん và きっと khác nhau thế nào?,Tabun v kitto khc nhau th no?,たぶん và きっと khác nhau thế nào?,たぶん là có lẽ; きっと là chắc chắn / nhất định,たぶん là chắc chắn; きっと là có lẽ,Cả hai đều là tất nhiên,Cả hai đều là gần đây
19,Phân biệt từ dễ nhầm,Mina bài 21,7,もちろん và たぶん khác nhau thế nào?,Mochiron v tabun khc nhau th no?,もちろん và たぶん khác nhau thế nào?,もちろん là tất nhiên; たぶん là có lẽ,もちろん là có lẽ; たぶん là tất nhiên,Cả hai đều là thật sự,Cả hai đều là lâu rồi
19,Phân biệt từ dễ nhầm,Mina bài 21,8,勝ちます（かちます） và 負けます（まけます） khác nhau thế nào?,Kachimasu v makemasu khc nhau th no?,勝ちます（かちます） và 負けます（まけます） khác nhau thế nào?,勝ちます là thắng; 負けます là thua,勝ちます là thua; 負けます là thắng,Cả hai đều là dừng,Cả hai đều là có ích
19,Phân biệt từ dễ nhầm,Mina bài 21,9,やめます và 気をつけます（きをつけます） khác nhau thế nào?,Yamemasu v kiwotsukemasu khc nhau th no?,やめます và 気をつけます（きをつけます） khác nhau thế nào?,やめます là nghỉ/bỏ/dừng; 気をつけます là chú ý/cẩn thận,やめます là chú ý; 気をつけます là dừng,Cả hai đều là thắng,Cả hai đều là chuyển động
19,Phân biệt từ dễ nhầm,Mina bài 21,10,アニメ và マンガ khác nhau thế nào?,Anime v manga khc nhau th no?,アニメ và マンガ khác nhau thế nào?,アニメ là phim hoạt hình; マンガ là truyện tranh,アニメ là truyện tranh; マンガ là phim hoạt hình,Cả hai đều là tin tức,Cả hai đều là thiết kế
