group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,1,“giúp đỡ” là từ nào?,“giúp đỡ” là từ nào?,てつだいます,よびます,話します（はなします）,みせます
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,2,“gọi” là từ nào?,“gọi” là từ nào?,よびます,てつだいます,おしえます,コピーします
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,3,“nói chuyện” là từ nào?,“nói chuyện” là từ nào?,話します（はなします）,よびます,みせます,はじめます
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,4,“cho xem” là từ nào?,“cho xem” là từ nào?,みせます,話します（はなします）,おしえます,ふります
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,5,“chỉ / dạy / cho biết” là từ nào?,“chỉ / dạy / cho biết” là từ nào?,おしえます,みせます,てつだいます,コピーします
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,6,“bắt đầu” là từ nào?,“bắt đầu” là từ nào?,はじめます,ふります,まちます,しめます
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,7,“rơi” là từ nào?,“rơi” là từ nào?,ふります,はじめます,とめます,まがります
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,8,“photo / sao chép” là từ nào?,“photo / sao chép” là từ nào?,コピーします,はじめます,おしえます,よびます
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,9,“máy lạnh / điều hòa” là từ nào?,“máy lạnh / điều hòa” là từ nào?,エアコン,パスポート,地図（ちず）,おつり
7,Việt → Nhật / giao tiếp và hành động,Mina bài 14,10,“hộ chiếu” là từ nào?,“hộ chiếu” là từ nào?,パスポート,エアコン,名前（なまえ）,じゅうしょ
