group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / quần áo,Mina bài 22,1,“kính” là từ nào?,Chọn tiếng Nhật tương ứng.,めがね,ぼうし,ネクタイ,くつ
8,Việt → Nhật / quần áo,Mina bài 22,2,“cà vạt” là từ nào?,Chọn tiếng Nhật tương ứng.,ネクタイ,めがね,くつ,ズボン
8,Việt → Nhật / quần áo,Mina bài 22,3,“giày” là từ nào?,Chọn tiếng Nhật tương ứng.,くつ,ネクタイ,スカート,ワンピース
8,Việt → Nhật / quần áo,Mina bài 22,4,“quần dài” là từ nào?,Chọn tiếng Nhật tương ứng.,ズボン,スカート,ワンピース,コート
8,Việt → Nhật / quần áo,Mina bài 22,5,“váy” là từ nào?,Chọn tiếng Nhật tương ứng.,スカート,ズボン,ワンピース,スーツ
8,Việt → Nhật / quần áo,Mina bài 22,6,“váy liền” là từ nào?,Chọn tiếng Nhật tương ứng.,ワンピース,スカート,ズボン,セーター
8,Việt → Nhật / quần áo,Mina bài 22,7,“màu trắng” là từ nào?,Chọn tiếng Nhật tương ứng.,白い（しろい）,黒い（くろい）,赤い（あかい）,青い（あおい）
8,Việt → Nhật / quần áo,Mina bài 22,8,“màu đen” là từ nào?,Chọn tiếng Nhật tương ứng.,黒い（くろい）,白い（しろい）,赤い（あかい）,黄色い（きいろい）
8,Việt → Nhật / quần áo,Mina bài 22,9,“màu đỏ” là từ nào?,Chọn tiếng Nhật tương ứng.,赤い（あかい）,青い（あおい）,黄色い（きいろい）,ちゃいろい
8,Việt → Nhật / quần áo,Mina bài 22,10,“màu xanh dương” là từ nào?,Chọn tiếng Nhật tương ứng.,青い（あおい）,赤い（あかい）,白い（しろい）,黒い（くろい）
