group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Nghệ thuật / chữ viết,Mina bài 9,1,カラオケ nghĩa là gì?,karaoke nghia la gi?,カラオケ nghĩa là gì?,karaoke,buổi hòa nhạc,nhạc cổ điển,Kabuki
3,Nghệ thuật / chữ viết,Mina bài 9,2,かぶき nghĩa là gì?,kabuki nghia la gi?,かぶき nghĩa là gì?,Kabuki,karaoke,nhạc jazz,tranh
3,Nghệ thuật / chữ viết,Mina bài 9,3,絵（え） nghĩa là gì?,e nghia la gi?,絵（え） nghĩa là gì?,tranh,chữ,chữ Kanji,vé
3,Nghệ thuật / chữ viết,Mina bài 9,4,字（じ） nghĩa là gì?,ji nghia la gi?,字（じ） nghĩa là gì?,chữ,tranh,thời gian,tiền lẻ
3,Nghệ thuật / chữ viết,Mina bài 9,5,かんじ nghĩa là gì?,kanji nghia la gi?,かんじ nghĩa là gì?,chữ Kanji,chữ Hiragana,chữ Katakana,chữ Roman
3,Nghệ thuật / chữ viết,Mina bài 9,6,ひらがな nghĩa là gì?,hiragana nghia la gi?,ひらがな nghĩa là gì?,chữ Hiragana,chữ Kanji,chữ Katakana,chữ Roman
3,Nghệ thuật / chữ viết,Mina bài 9,7,かたかな nghĩa là gì?,katakana nghia la gi?,かたかな nghĩa là gì?,chữ Katakana,chữ Hiragana,chữ Kanji,chữ Roman
3,Nghệ thuật / chữ viết,Mina bài 9,8,ローマじ nghĩa là gì?,romaji nghia la gi?,ローマじ nghĩa là gì?,chữ Roman,chữ Kanji,chữ Hiragana,chữ Katakana
3,Nghệ thuật / chữ viết,Mina bài 9,9,かんじが わかります nghĩa là gì?,kanjiga wakarimasu nghia la gi?,かんじが わかります nghĩa là gì?,hiểu chữ Kanji,thích chữ Kanji,ghét chữ Kanji,có chữ Kanji
3,Nghệ thuật / chữ viết,Mina bài 9,10,絵（え）が じょうずです nghĩa là gì?,ega jouzudesu nghia la gi?,絵（え）が じょうずです nghĩa là gì?,vẽ tranh giỏi,đọc tranh giỏi,thích tranh,có tranh
