group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
6,Ôn tập mẫu câu JLPT N5,JLPT N5,1,これは びょういん＿＿。,Đây là bệnh viện.,です,でした,ではありません,ではありませんでした
6,Ôn tập mẫu câu JLPT N5,JLPT N5,2,かばんは いすの 下に ＿＿。,Cái cặp ở dưới ghế.,あります,います,です,します
6,Ôn tập mẫu câu JLPT N5,JLPT N5,3,へやの 中に ねこが ＿＿。,Có con mèo trong phòng.,います,あります,です,します
6,Ôn tập mẫu câu JLPT N5,JLPT N5,4,みかんを 三つ ＿＿。,Cho tôi ba quả quýt.,ください,あります,います,です
6,Ôn tập mẫu câu JLPT N5,JLPT N5,5,まどを あけて ＿＿。,Hãy mở cửa sổ.,ください,います,あります,でした
6,Ôn tập mẫu câu JLPT N5,JLPT N5,6,毎日 7じに ＿＿。,Mỗi ngày tôi thức dậy lúc 7 giờ.,おきます,おきました,おきませんでした,おきたいでした
6,Ôn tập mẫu câu JLPT N5,JLPT N5,7,じゅぎょうは なんじに ＿＿。,Lớp học kết thúc lúc mấy giờ?,おわりますか,おわりました,おわりませんでした,おわっています
6,Ôn tập mẫu câu JLPT N5,JLPT N5,8,きょうは あたまが ＿＿。,Hôm nay tôi đau đầu.,いたいです,いたくです,いたいでした,いたくないでした
6,Ôn tập mẫu câu JLPT N5,JLPT N5,9,この ことばを しって ＿＿。,Bạn có biết từ này không?,いますか,ありますか,ですか,しますか
6,Ôn tập mẫu câu JLPT N5,JLPT N5,10,ここに なまえを かいて ＿＿。,Hãy viết tên ở đây.,ください,います,あります,でした
