group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Màu sắc / danh từ,Mina bài 8,1,赤い（あかい） nghĩa là gì?,Akai nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 赤い（あかい）.,đỏ,trắng,đen,xanh dương
4,Màu sắc / danh từ,Mina bài 8,2,青い（あおい） nghĩa là gì?,Aoi nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 青い（あおい）.,xanh dương,đỏ,trắng,đen
4,Màu sắc / danh từ,Mina bài 8,3,さくら nghĩa là gì?,Sakura nghĩa là gì?,Hỏi nghĩa tiếng Việt của: さくら.,hoa anh đào,núi,thành phố,nơi chốn
4,Màu sắc / danh từ,Mina bài 8,4,山（やま） nghĩa là gì?,Yama nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 山（やま）.,núi,hoa anh đào,thành phố,ký túc xá
4,Màu sắc / danh từ,Mina bài 8,5,まち nghĩa là gì?,Machi nghĩa là gì?,Hỏi nghĩa tiếng Việt của: まち.,thành phố / khu phố,núi,đồ ăn,nơi chốn
4,Màu sắc / danh từ,Mina bài 8,6,食べ物（たべもの） nghĩa là gì?,食betabemono nghĩa là gì?,Hỏi nghĩa tiếng Việt của: 食べ物（たべもの）.,đồ ăn,việc học,công việc,cuộc sống
4,Màu sắc / danh từ,Mina bài 8,7,ところ nghĩa là gì?,Tokoro nghĩa là gì?,Hỏi nghĩa tiếng Việt của: ところ.,nơi chốn,ký túc xá,thành phố,núi
4,Màu sắc / danh từ,Mina bài 8,8,りょう nghĩa là gì?,Ryou nghĩa là gì?,Hỏi nghĩa tiếng Việt của: りょう.,ký túc xá,công việc,việc học,cuộc sống
4,Màu sắc / danh từ,Mina bài 8,9,べんきょう nghĩa là gì?,Benkyou nghĩa là gì?,Hỏi nghĩa tiếng Việt của: べんきょう.,việc học,công việc,cuộc sống,đồ ăn
4,Màu sắc / danh từ,Mina bài 8,10,せいかつ nghĩa là gì?,Seikatsu nghĩa là gì?,Hỏi nghĩa tiếng Việt của: せいかつ.,cuộc sống,công việc,nơi chốn,ký túc xá
