group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,1,こまかい お金（おかね） nghĩa là gì?,komakai ookane nghia la gi?,こまかい お金（おかね） nghĩa là gì?,tiền lẻ,vé,thời gian,cuộc hẹn
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,2,チケット nghĩa là gì?,chiketto nghia la gi?,チケット nghĩa là gì?,vé,tiền lẻ,việc riêng,lời hứa
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,3,時間（じかん） nghĩa là gì?,jikan nghia la gi?,時間（じかん） nghĩa là gì?,thời gian,vé,tiền lẻ,việc bận
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,4,ようじ nghĩa là gì?,youji nghia la gi?,ようじ nghĩa là gì?,việc bận / việc riêng,thời gian,vé,tiền lẻ
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,5,やくそく nghĩa là gì?,yakusoku nghia la gi?,やくそく nghĩa là gì?,cuộc hẹn / lời hứa,việc riêng,thời gian,tiền lẻ
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,6,こまかい お金（おかね）が あります nghĩa là gì?,komakai ookanega arimasu nghia la gi?,こまかい お金（おかね）が あります nghĩa là gì?,có tiền lẻ,có vé,có thời gian,có cuộc hẹn
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,7,チケットが あります nghĩa là gì?,chikettoga arimasu nghia la gi?,チケットが あります nghĩa là gì?,có vé,có tiền lẻ,có việc bận,có lời hứa
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,8,時間（じかん）が ありません nghĩa là gì?,jikanga arimasen nghia la gi?,時間（じかん）が ありません nghĩa là gì?,không có thời gian,không có vé,không hiểu thời gian,không thích thời gian
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,9,きょうは ようじが あります nghĩa là gì?,kyouha youjiga arimasu nghia la gi?,きょうは ようじが あります nghĩa là gì?,hôm nay có việc bận,hôm nay có tiền lẻ,hôm nay thích thể thao,hôm nay hiểu Kanji
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,10,あした やくそくが あります nghĩa là gì?,ashita yakusokuga arimasu nghia la gi?,あした やくそくが あります nghĩa là gì?,ngày mai có cuộc hẹn,ngày mai có vé,ngày mai có tiền lẻ,ngày mai có thời gian rảnh
