group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
9,Việt → Nhật / phương tiện,Mina bài 5,1,“tàu Shinkansen” là từ nào?,“tàu Shinkansen” là từ nào?,tàu Shinkansen,しんかんせん,電車（でんしゃ）,ちかてつ,ふね
9,Việt → Nhật / phương tiện,Mina bài 5,2,“xe buýt” là từ nào?,“xe buýt” là từ nào?,xe buýt,バス,タクシー,じてんしゃ,ひこうき
9,Việt → Nhật / phương tiện,Mina bài 5,3,“taxi” là từ nào?,“taxi” là từ nào?,taxi,タクシー,バス,じてんしゃ,電車（でんしゃ）
9,Việt → Nhật / phương tiện,Mina bài 5,4,“xe đạp” là từ nào?,“xe đạp” là từ nào?,xe đạp,じてんしゃ,タクシー,バス,しんかんせん
9,Việt → Nhật / phương tiện,Mina bài 5,5,“đi bộ” là từ nào?,“đi bộ” là từ nào?,đi bộ,あるいて,ひとりで,ふつう,つぎ
9,Việt → Nhật / phương tiện,Mina bài 5,6,“người” là từ nào?,“người” là từ nào?,người,人（ひと）,ともだち,かぞく,かれ
9,Việt → Nhật / phương tiện,Mina bài 5,7,“bạn bè” là từ nào?,“bạn bè” là từ nào?,bạn bè,ともだち,人（ひと）,かぞく,かのじょ
9,Việt → Nhật / phương tiện,Mina bài 5,8,“anh ấy / bạn trai” là từ nào?,“anh ấy / bạn trai” là từ nào?,anh ấy / bạn trai,かれ,かのじょ,ともだち,かぞく
9,Việt → Nhật / phương tiện,Mina bài 5,9,“cô ấy / bạn gái” là từ nào?,“cô ấy / bạn gái” là từ nào?,cô ấy / bạn gái,かのじょ,かれ,人（ひと）,ともだち
9,Việt → Nhật / phương tiện,Mina bài 5,10,“gia đình” là từ nào?,“gia đình” là từ nào?,gia đình,かぞく,ともだち,かれ,かのじょ
