group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Thời gian / câu bệnh viện,Mina bài 17,1,時間（じかん） nghĩa là gì?,Nghĩa là gì?,thời gian,trước hạn,đến,vấn đề
4,Thời gian / câu bệnh viện,Mina bài 17,2,〜までに nghĩa là gì?,Nghĩa là gì?,trước hạn / trước lúc,đến / cho đến,vì vậy,sau đó
4,Thời gian / câu bệnh viện,Mina bài 17,3,〜まで nghĩa là gì?,Nghĩa là gì?,đến / cho đến,trước hạn,ngoài ra,vì vậy
4,Thời gian / câu bệnh viện,Mina bài 17,4,ですから nghĩa là gì?,Nghĩa là gì?,vì vậy / cho nên,sau đó / ngoài ra,bị sao vậy,giữ gìn sức khỏe nhé
4,Thời gian / câu bệnh viện,Mina bài 17,5,どうしましたか nghĩa là gì?,Nghĩa là gì?,bị sao vậy?,đau ở đâu?,có thuốc không?,ổn không?
4,Thời gian / câu bệnh viện,Mina bài 17,6,のど nghĩa là gì?,Nghĩa là gì?,cổ họng,bệnh,sốt,thuốc
4,Thời gian / câu bệnh viện,Mina bài 17,7,いたい nghĩa là gì?,Nghĩa là gì?,đau,nguy hiểm,quan trọng,không sao
4,Thời gian / câu bệnh viện,Mina bài 17,8,のどが いたいです nghĩa là gì?,Nghĩa là gì?,đau họng,bị cảm,bị sốt,đau bụng
4,Thời gian / câu bệnh viện,Mina bài 17,9,かぜを ひきました nghĩa là gì?,Nghĩa là gì?,bị cảm,bị sốt,đau họng,uống thuốc
4,Thời gian / câu bệnh viện,Mina bài 17,10,おだいじに nghĩa là gì?,Nghĩa là gì?,giữ gìn sức khỏe nhé,bị sao vậy?,vì vậy,sau đó
