group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,1,“gần đây” là từ nào?,Gn y l t no?,“gần đây” là từ nào?,最近（さいきん）,しばらくですね,どうですか,たぶん
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,2,“lâu rồi nhỉ” là câu nào?,Lu ri nh l cu no?,“lâu rồi nhỉ” là câu nào?,しばらくですね,最近（さいきん）,どうですか,もう帰らないと…（もうかえらないと…）
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,3,“phải về rồi…” là câu nào?,Phi v ri… l cu no?,“phải về rồi…” là câu nào?,もう帰らないと…（もうかえらないと…）,しばらくですね,どうですか,仕方がありません（しかたがありません）
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,4,“thắng” là từ nào?,Thng l t no?,“thắng” là từ nào?,勝ちます（かちます）,負けます（まけます）,やめます,うごきます
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,5,“thua” là từ nào?,Thua l t no?,“thua” là từ nào?,負けます（まけます）,勝ちます（かちます）,気をつけます（きをつけます）,あります
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,6,“trận đấu” là từ nào?,Trn u l t no?,“trận đấu” là từ nào?,試合（しあい）,ニュース,ほうそう,デザイン
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,7,“nghỉ / bỏ / dừng” là từ nào?,Ngh / b / dng l t no?,“nghỉ / bỏ / dừng” là từ nào?,やめます,勝ちます（かちます）,負けます（まけます）,あります
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,8,“chú ý / cẩn thận” là từ nào?,Ch / cn thn l t no?,“chú ý / cẩn thận” là từ nào?,気をつけます（きをつけます）,うごきます,やめます,足ります（たります）
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,9,“ô tô / xe hơi” là từ nào?,T / xe hi l t no?,“ô tô / xe hơi” là từ nào?,じどうしゃ,こうつう,ぶっか,ほうそう
8,Việt → Nhật / trận đấu và xã hội,Mina bài 21,10,“giao thông” là từ nào?,Giao thng l t no?,“giao thông” là từ nào?,こうつう,じどうしゃ,ぶっか,ニュース
