group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,1,ここ＿＿＿ きょうしつです。,koko_________ kyoushitsudesu.,Điền từ/cụm phù hợp vào chỗ trống.,は,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,2,トイレ＿＿＿ どこですか。,toire_________ dokodesuka.,Điền từ/cụm phù hợp vào chỗ trống.,は,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,3,うけつけは こちら＿＿＿。,uketsukeha kochira_________.,Điền từ/cụm phù hợp vào chỗ trống.,です,ます,を,に
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,4,くつの うりばは なんがい＿＿＿。,kutsuno uribaha nangai_________.,Điền từ/cụm phù hợp vào chỗ trống.,ですか,ますか,でした,ません
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,5,これは いくら＿＿＿。,koreha ikura_________.,Điền từ/cụm phù hợp vào chỗ trống.,ですか,ますか,ください,みせて
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,6,すみません、これ＿＿＿ ください。,sumimasen.kore_________ kudasai.,Điền từ/cụm phù hợp vào chỗ trống.,を,は,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,7,ワイン＿＿＿ みせてください。,wain_________ misete kudasai.,Điền từ/cụm phù hợp vào chỗ trống.,を,は,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,8,ここは 会社（かいしゃ）＿＿＿。,kokoha kaisha_________.,Điền từ/cụm phù hợp vào chỗ trống.,です,ます,を,に
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,9,これは 1000円（せんえん）＿＿＿。,koreha sen en_________.,Điền từ/cụm phù hợp vào chỗ trống.,です,ます,を,に
14,Chọn trợ từ / cụm phù hợp,Mina bài 3,10,じゃ、これ＿＿＿ ください。,ja.kore_________ kudasai.,Điền từ/cụm phù hợp vào chỗ trống.,を,は,に,で
