group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Thể thao / đồ ăn / người,Mina bài 19,1,ゴルフ nghĩa là gì?,gorufu nghĩa là gì?,Hỏi nghĩa của “ゴルフ”.,golf,sumo,pachinko,trà
4,Thể thao / đồ ăn / người,Mina bài 19,2,すもう nghĩa là gì?,sumou nghĩa là gì?,Hỏi nghĩa của “すもう”.,sumo,golf,pachinko,bánh kem
4,Thể thao / đồ ăn / người,Mina bài 19,3,パチンコ nghĩa là gì?,pachinko nghĩa là gì?,Hỏi nghĩa của “パチンコ”.,pachinko,golf,sumo,trà
4,Thể thao / đồ ăn / người,Mina bài 19,4,おちゃ nghĩa là gì?,ocha nghĩa là gì?,Hỏi nghĩa của “おちゃ”.,trà,bánh kem,golf,sumo
4,Thể thao / đồ ăn / người,Mina bài 19,5,ケーキ nghĩa là gì?,keeki nghĩa là gì?,Hỏi nghĩa của “ケーキ”.,bánh kem,trà,pachinko,nhiều thứ
4,Thể thao / đồ ăn / người,Mina bài 19,6,富士山（ふじさん） nghĩa là gì?,fujisan（fujisan） nghĩa là gì?,Hỏi nghĩa của “富士山（ふじさん）”.,núi Phú Sĩ,anh Yamada,ngày,núi Osaka
4,Thể thao / đồ ăn / người,Mina bài 19,7,日（ひ） nghĩa là gì?,hi（ひ） nghĩa là gì?,Hỏi nghĩa của “日（ひ）”.,ngày,người,núi,trà
4,Thể thao / đồ ăn / người,Mina bài 19,8,やまださん nghĩa là gì?,Yamada-san nghĩa là gì?,Hỏi nghĩa của “やまださん”.,anh/chị Yamada,anh/chị Tanaka,núi Phú Sĩ,trưởng phòng
4,Thể thao / đồ ăn / người,Mina bài 19,9,たなかさん nghĩa là gì?,Tanaka-san nghĩa là gì?,Hỏi nghĩa của “たなかさん”.,anh/chị Tanaka,anh/chị Yamada,ngày,bánh kem
4,Thể thao / đồ ăn / người,Mina bài 19,10,すもうは ゆうめいです nghĩa là gì?,sumouは yuumeiです nghĩa là gì?,Hỏi nghĩa của “すもうは ゆうめいです”.,Sumo nổi tiếng.,Golf yên tĩnh.,Pachinko buồn ngủ.,Trà tiện lợi.
