group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Tính từ / mô tả người,Mina bài 16,1,若い（わかい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,trẻ,dài,ngắn,tối
2,Tính từ / mô tả người,Mina bài 16,2,長い（ながい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,dài,ngắn,sáng,trẻ
2,Tính từ / mô tả người,Mina bài 16,3,短い（みじかい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,ngắn,dài,tối,sáng
2,Tính từ / mô tả người,Mina bài 16,4,明るい（あかるい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,sáng,tối,trẻ,thông minh
2,Tính từ / mô tả người,Mina bài 16,5,暗い（くらい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,tối,sáng,dài,ngắn
2,Tính từ / mô tả người,Mina bài 16,6,背が高い（せが たかい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,cao,trẻ,thông minh,chân dài
2,Tính từ / mô tả người,Mina bài 16,7,頭がいい（あたまが いい） nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,thông minh,cao,trẻ,sáng
2,Tính từ / mô tả người,Mina bài 16,8,この へやは 明るい（あかるい）です nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,Phòng này sáng.,Phòng này tối.,Phòng này dài.,Phòng này trẻ.
2,Tính từ / mô tả người,Mina bài 16,9,この えんぴつは 長い（ながい）です nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,Cây bút chì này dài.,Cây bút chì này ngắn.,Cây bút chì này sáng.,Cây bút chì này tối.
2,Tính từ / mô tả người,Mina bài 16,10,山田（やまだ）さんは 背が高い（せが たかい）です nghĩa là gì?,Chọn nghĩa tiếng Việt đúng.,Anh/chị Yamada cao.,Anh/chị Yamada trẻ.,Anh/chị Yamada thông minh.,Anh/chị Yamada tối.
