group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
10,Điền vào câu / mô tả,Mina bài 16,1,山田（やまだ）さんは＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,若い（わかい）,長い（ながい）,短い（みじかい）,暗い（くらい）
10,Điền vào câu / mô tả,Mina bài 16,2,この 道（みち）は＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,長い（ながい）,若い（わかい）,頭がいい（あたまが いい）,口（くち）
10,Điền vào câu / mô tả,Mina bài 16,3,この えんぴつは＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,短い（みじかい）,若い（わかい）,体（からだ）,ボタン
10,Điền vào câu / mô tả,Mina bài 16,4,この へやは＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,明るい（あかるい）,足（あし）,歯（は）,どの
10,Điền vào câu / mô tả,Mina bài 16,5,この へやは ちょっと＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,暗い（くらい）,若い（わかい）,ばん,かくにん
10,Điền vào câu / mô tả,Mina bài 16,6,あの 人（ひと）は＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,背が高い（せが たかい）,どの,シャワー,ボタン
10,Điền vào câu / mô tả,Mina bài 16,7,田中（たなか）さんは＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,頭がいい（あたまが いい）,足（あし）,口（くち）,サービス
10,Điền vào câu / mô tả,Mina bài 16,8,髪（かみ）が＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,長い（ながい）,ボタン,かくにん,ばん
10,Điền vào câu / mô tả,Mina bài 16,9,足（あし）が＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,長い（ながい）,どの,それから,あんしょうばんごう
10,Điền vào câu / mô tả,Mina bài 16,10,この レストランは サービスが＿＿＿です。,Chọn đáp án phù hợp để hoàn thành câu.,いい,どれ,まず,おします
