group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
10,Đọc kanji / danh từ,Mina bài 24,1,書きます đọc là gì?,Kakimasu đọc là gì,書きます đọc là gì?,かきます,ききます,よみます,はなします
10,Đọc kanji / danh từ,Mina bài 24,2,呼びます đọc là gì?,Yobimasu đọc là gì,呼びます đọc là gì?,よびます,おしえます,もちます,かします
10,Đọc kanji / danh từ,Mina bài 24,3,持ちます đọc là gì?,Mochimasu đọc là gì,持ちます đọc là gì?,もちます,よびます,かきます,いれます
10,Đọc kanji / danh từ,Mina bài 24,4,準備 đọc là gì?,Junbi đọc là gì,準備 đọc là gì?,じゅんび,じゅび,じゅんぴ,じゅうび
10,Đọc kanji / danh từ,Mina bài 24,5,引っ越し đọc là gì?,Hikkoshi đọc là gì,引っ越し đọc là gì?,ひっこし,ひこし,ひっごし,いっこし
10,Đọc kanji / danh từ,Mina bài 24,6,お弁当 đọc là gì?,Obentou đọc là gì,お弁当 đọc là gì?,おべんとう,おべんと,おべんどう,おべとう
10,Đọc kanji / danh từ,Mina bài 24,7,母の日 đọc là gì?,Haha no hi đọc là gì,母の日 đọc là gì?,ははのひ,ははのび,ぼのひ,かあのひ
10,Đọc kanji / danh từ,Mina bài 24,8,全部 đọc là gì?,Zenbu đọc là gì,全部 đọc là gì?,ぜんぶ,ぜんぷ,せんぶ,ぜぶん
10,Đọc kanji / danh từ,Mina bài 24,9,自分で đọc là gì?,Jibun de đọc là gì,自分で đọc là gì?,じぶんで,じぷんで,しぶんで,じぶで
10,Đọc kanji / danh từ,Mina bài 24,10,何 đọc là gì?,Nani đọc là gì,何 đọc là gì?,なに,なん,だれ,どこ
