group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Điền vào câu,Mina bài 24,1,山田（やまだ）さんが プレゼントを＿＿＿。,Yamadasanga purezento o,山田（やまだ）さんが プレゼントを＿＿＿。,くれました,貸しました（かしました）,書きました（かきました）,呼びました（よびました）
7,Điền vào câu,Mina bài 24,2,友達（ともだち）を 京都（きょうと）へ＿＿＿。,Tomodachio kyoutohe,友達（ともだち）を 京都（きょうと）へ＿＿＿。,連れて行きます（つれていきます）,連れて来ます（つれてきます）,入れます（いれます）,書きます（かきます）
7,Điền vào câu,Mina bài 24,3,おじいさんを うちへ＿＿＿。,Ojiisan o uchihe,おじいさんを うちへ＿＿＿。,連れて来ます（つれてきます）,連れて行きます（つれていきます）,貸します（かします）,呼びます（よびます）
7,Điền vào câu,Mina bài 24,4,駅（えき）まで 先生（せんせい）を＿＿＿。,Ekimade senseio,駅（えき）まで 先生（せんせい）を＿＿＿。,送ります（おくります）,入れます（いれます）,書きます（かきます）,持ちます（もちます）
7,Điền vào câu,Mina bài 24,5,友達（ともだち）を 先生（せんせい）に＿＿＿。,Tomodachio senseini,友達（ともだち）を 先生（せんせい）に＿＿＿。,紹介します（しょうかいします）,説明します（せつめいします）,案内します（あんないします）,入れます（いれます）
7,Điền vào câu,Mina bài 24,6,学校（がっこう）を＿＿＿。,Gakkouo,学校（がっこう）を＿＿＿。,案内します（あんないします）,貸します（かします）,呼びます（よびます）,持ちます（もちます）
7,Điền vào câu,Mina bài 24,7,日本語（にほんご）で＿＿＿。,Nihongode,日本語（にほんご）で＿＿＿。,説明します（せつめいします）,くれます,連れて来ます（つれてきます）,入れます（いれます）
7,Điền vào câu,Mina bài 24,8,コーヒーに さとうを＿＿＿。,Koohii ni satou o,コーヒーに さとうを＿＿＿。,入れます（いれます）,書きます（かきます）,呼びます（よびます）,送ります（おくります）
7,Điền vào câu,Mina bài 24,9,引っ越し（ひっこし）を＿＿＿。,Hikkoshio,引っ越し（ひっこし）を＿＿＿。,手伝います（てつだいます）,呼びます（よびます）,書きます（かきます）,持ちます（もちます）
7,Điền vào câu,Mina bài 24,10,友達（ともだち）に 本（ほん）を＿＿＿。,Tomodachini hono,友達（ともだち）に 本（ほん）を＿＿＿。,貸します（かします）,くれます,案内します（あんないします）,説明します（せつめいします）
