group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / tính từ い,Mina bài 8,1,“to / lớn” là từ nào?,“to / lớn” là từ nào?,Chọn từ tiếng Nhật tương ứng với: to / lớn.,大きい（おおきい）,小さい（ちいさい）,新しい（あたらしい）,古い（ふるい）
8,Việt → Nhật / tính từ い,Mina bài 8,2,“nhỏ / bé” là từ nào?,“nhỏ / bé” là từ nào?,Chọn từ tiếng Nhật tương ứng với: nhỏ / bé.,小さい（ちいさい）,大きい（おおきい）,高い（たかい）,低い（ひくい）
8,Việt → Nhật / tính từ い,Mina bài 8,3,“mới” là từ nào?,“mới” là từ nào?,Chọn từ tiếng Nhật tương ứng với: mới.,新しい（あたらしい）,古い（ふるい）,いい / よい,悪い（わるい）
8,Việt → Nhật / tính từ い,Mina bài 8,4,“cũ” là từ nào?,“cũ” là từ nào?,Chọn từ tiếng Nhật tương ứng với: cũ.,古い（ふるい）,新しい（あたらしい）,安い（やすい）,高い（たかい）
8,Việt → Nhật / tính từ い,Mina bài 8,5,“tốt” là từ nào?,“tốt” là từ nào?,Chọn từ tiếng Nhật tương ứng với: tốt.,いい / よい,悪い（わるい）,むずかしい,やさしい
8,Việt → Nhật / tính từ い,Mina bài 8,6,“xấu / không tốt” là từ nào?,“xấu / không tốt” là từ nào?,Chọn từ tiếng Nhật tương ứng với: xấu / không tốt.,悪い（わるい）,いい / よい,おもしろい,おいしい
8,Việt → Nhật / tính từ い,Mina bài 8,7,“nóng” là từ nào?,“nóng” là từ nào?,Chọn từ tiếng Nhật tương ứng với: nóng.,あつい,さむい,つめたい,白い（しろい）
8,Việt → Nhật / tính từ い,Mina bài 8,8,“lạnh” là từ nào?,“lạnh” là từ nào?,Chọn từ tiếng Nhật tương ứng với: lạnh.,さむい,あつい,赤い（あかい）,黒い（くろい）
8,Việt → Nhật / tính từ い,Mina bài 8,9,“khó” là từ nào?,“khó” là từ nào?,Chọn từ tiếng Nhật tương ứng với: khó.,むずかしい,やさしい,たのしい,おいしい
8,Việt → Nhật / tính từ い,Mina bài 8,10,“dễ / hiền” là từ nào?,“dễ / hiền” là từ nào?,Chọn từ tiếng Nhật tương ứng với: dễ / hiền.,やさしい,むずかしい,いそがしい,おもしろい
