group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,1,こまかい お金（おかね） nghĩa là gì?,こまかい お金（おかね） nghĩa là gì?,tiền lẻ,vé,thời gian,cuộc hẹn
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,2,チケット nghĩa là gì?,チケット nghĩa là gì?,vé,tiền lẻ,việc riêng,lời hứa
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,3,時間（じかん） nghĩa là gì?,時間（じかん） nghĩa là gì?,thời gian,vé,tiền lẻ,việc bận
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,4,ようじ nghĩa là gì?,ようじ nghĩa là gì?,việc bận / việc riêng,thời gian,vé,tiền lẻ
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,5,やくそく nghĩa là gì?,やくそく nghĩa là gì?,cuộc hẹn / lời hứa,việc riêng,thời gian,tiền lẻ
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,6,こまかい お金（おかね）が あります nghĩa là gì?,こまかい お金（おかね）が あります nghĩa là gì?,có tiền lẻ,có vé,có thời gian,có cuộc hẹn
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,7,チケットが あります nghĩa là gì?,チケットが あります nghĩa là gì?,có vé,có tiền lẻ,có việc bận,có lời hứa
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,8,時間（じかん）が ありません nghĩa là gì?,時間（じかん）が ありません nghĩa là gì?,không có thời gian,không có vé,không hiểu thời gian,không thích thời gian
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,9,きょうは ようじが あります nghĩa là gì?,きょうは ようじが あります nghĩa là gì?,hôm nay có việc bận,hôm nay có tiền lẻ,hôm nay thích thể thao,hôm nay hiểu Kanji
4,Tiền / vé / thời gian / cuộc hẹn,Mina bài 9,10,あした やくそくが あります nghĩa là gì?,あした やくそくが あります nghĩa là gì?,ngày mai có cuộc hẹn,ngày mai có vé,ngày mai có tiền lẻ,ngày mai có thời gian rảnh
