group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
5,Trạng từ / câu giao tiếp,Mina bài 19,1,だんだん nghĩa là gì?,dandan nghĩa là gì?,Hỏi nghĩa của “だんだん”.,dần dần,sắp / chẳng mấy nữa,một lần,nhiều thứ
5,Trạng từ / câu giao tiếp,Mina bài 19,2,もうすぐ nghĩa là gì?,mou sugu nghĩa là gì?,Hỏi nghĩa của “もうすぐ”.,sắp / chẳng mấy nữa,dần dần,một lần cũng không,nhưng
5,Trạng từ / câu giao tiếp,Mina bài 19,3,いちど nghĩa là gì?,ichido nghĩa là gì?,Hỏi nghĩa của “いちど”.,một lần,một lần cũng không,nhiều việc,sắp
5,Trạng từ / câu giao tiếp,Mina bài 19,4,いちども nghĩa là gì?,ichido mo nghĩa là gì?,Hỏi nghĩa của “いちども”.,một lần cũng không,một lần,dần dần,sắp
5,Trạng từ / câu giao tiếp,Mina bài 19,5,いろいろ nghĩa là gì?,iroiro nghĩa là gì?,Hỏi nghĩa của “いろいろ”.,nhiều thứ / nhiều việc,một lần,nhưng,sắp
5,Trạng từ / câu giao tiếp,Mina bài 19,6,でも nghĩa là gì?,demo nghĩa là gì?,Hỏi nghĩa của “でも”.,nhưng,dần dần,một lần,nhiều việc
5,Trạng từ / câu giao tiếp,Mina bài 19,7,しばらくですね nghĩa là gì?,shibaraku desu ne nghĩa là gì?,Hỏi nghĩa của “しばらくですね”.,lâu rồi nhỉ,thay đổi rồi nhỉ,anh/chị khỏe không?,cạn ly
5,Trạng từ / câu giao tiếp,Mina bài 19,8,かわりましたね nghĩa là gì?,kawarimashita ne nghĩa là gì?,Hỏi nghĩa của “かわりましたね”.,thay đổi rồi nhỉ,lâu rồi nhỉ,nhờ ơn trời,đúng vậy nhỉ
5,Trạng từ / câu giao tiếp,Mina bài 19,9,おげんきですか nghĩa là gì?,ogenki desu ka nghĩa là gì?,Hỏi nghĩa của “おげんきですか”.,anh/chị khỏe không?,cạn ly,lâu rồi nhỉ,thay đổi rồi nhỉ
5,Trạng từ / câu giao tiếp,Mina bài 19,10,かんぱい nghĩa là gì?,kanpai nghĩa là gì?,Hỏi nghĩa của “かんぱい”.,cạn ly,nhờ ơn trời,để xem,lâu rồi nhỉ
