group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,1,“đẹp / sạch” là từ nào?,“đẹp / sạch” là từ nào?,Chọn từ tiếng Nhật cho “đẹp / sạch”.,きれい,しずか,にぎやか,べんり
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,2,“yên tĩnh” là từ nào?,“yên tĩnh” là từ nào?,Chọn từ tiếng Nhật cho “yên tĩnh”.,しずか,にぎやか,ひま,ゆうめい
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,3,“náo nhiệt” là từ nào?,“náo nhiệt” là từ nào?,Chọn từ tiếng Nhật cho “náo nhiệt”.,にぎやか,しずか,げんき,べんり
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,4,“rảnh” là từ nào?,“rảnh” là từ nào?,Chọn từ tiếng Nhật cho “rảnh”.,ひま,げんき,ねむい,強い（つよい）
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,5,“tiện lợi” là từ nào?,“tiện lợi” là từ nào?,Chọn từ tiếng Nhật cho “tiện lợi”.,べんり,きれい,弱い（よわい）,しずか
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,6,“nổi tiếng” là từ nào?,“nổi tiếng” là từ nào?,Chọn từ tiếng Nhật cho “nổi tiếng”.,ゆうめい,にぎやか,ひま,ねむい
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,7,“tình trạng / phong độ” là từ nào?,“tình trạng / phong độ” là từ nào?,Chọn từ tiếng Nhật cho “tình trạng / phong độ”.,ちょうし,ダイエット,むり,ゴルフ
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,8,“tình trạng tốt” là cụm nào?,“tình trạng tốt” là cụm nào?,Chọn từ tiếng Nhật cho “tình trạng tốt”.,ちょうしが いい,ちょうしが わるい,からだに いい,むり
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,9,“tốt cho sức khỏe” là cụm nào?,“tốt cho sức khỏe” là cụm nào?,Chọn từ tiếng Nhật cho “tốt cho sức khỏe”.,からだに いい,ちょうしが いい,ちょうしが わるい,ねむい
7,Việt → Nhật / tính từ và trạng thái,Mina bài 19,10,“quá sức / không thể” là từ nào?,“quá sức / không thể” là từ nào?,Chọn từ tiếng Nhật cho “quá sức / không thể”.,むり,げんき,べんり,きれい
