group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
5,Ôn tập tính từ い / な,JLPT N5,1,この かばんは ＿＿です。,Kono kaban wa ___ desu.,Cái cặp này màu đen.,くろい,くろく,くろな,くろ
5,Ôn tập tính từ い / な,JLPT N5,2,この へやは とても ＿＿です。,Kono heya wa totemo ___ desu.,Căn phòng này rất sạch.,きれい,きれいな,きれく,きれいく
5,Ôn tập tính từ い / な,JLPT N5,3,きょうは ＿＿です。,Kyou wa ___ desu.,Hôm nay nóng.,あつい,あつく,あつな,あつ
5,Ôn tập tính từ い / な,JLPT N5,4,父は テニスが ＿＿です。,Chichi wa tenisu ga ___ desu.,Bố tôi chơi tennis giỏi.,じょうず,じょうずな,じょうずい,じょうずく
5,Ôn tập tính từ い / な,JLPT N5,5,この みちは ＿＿です。,Kono michi wa ___ desu.,Con đường này ngắn.,みじかい,みじかく,みじかな,みじか
5,Ôn tập tính từ い / な,JLPT N5,6,あの ひとは ＿＿です。,Ano hito wa ___ desu.,Người kia nổi tiếng.,ゆうめい,ゆうめいな,ゆうめく,ゆうめいく
5,Ôn tập tính từ い / な,JLPT N5,7,この えいがは ＿＿です。,Kono eiga wa ___ desu.,Bộ phim này thú vị.,おもしろい,おもしろく,おもしろな,おもしろ
5,Ôn tập tính từ い / な,JLPT N5,8,この まちは ＿＿です。,Kono machi wa ___ desu.,Thành phố này yên tĩnh.,しずか,しずかな,しずかい,しずかく
5,Ôn tập tính từ い / な,JLPT N5,9,この りんごは ＿＿です。,Kono ringo wa ___ desu.,Quả táo này đỏ.,あかい,あかく,あかな,あか
5,Ôn tập tính từ い / な,JLPT N5,10,あの せんせいは ＿＿です。,Ano sensei wa ___ desu.,Giáo viên kia thân thiện.,しんせつ,しんせつな,しんせつい,しんせつく
