group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
3,Hướng / câu hỏi / số lần,Mina bài 23,1,まっすぐ nghĩa là gì?,,,thẳng,bên phải,bên trái,bằng cách nào
3,Hướng / câu hỏi / số lần,Mina bài 23,2,右（みぎ） nghĩa là gì?,,,bên phải,bên trái,thẳng,góc đường
3,Hướng / câu hỏi / số lần,Mina bài 23,3,左（ひだり） nghĩa là gì?,,,bên trái,bên phải,thẳng,ngã tư
3,Hướng / câu hỏi / số lần,Mina bài 23,4,どうやって nghĩa là gì?,,,bằng cách nào,cái nào,nhiều lần,thứ...
3,Hướng / câu hỏi / số lần,Mina bài 23,5,どの nghĩa là gì?,,,cái nào / người nào,bằng cách nào,nhiều lần,buồn
3,Hướng / câu hỏi / số lần,Mina bài 23,6,どれ nghĩa là gì?,,,cái nào,người nào,bằng cách nào,thứ...
3,Hướng / câu hỏi / số lần,Mina bài 23,7,サイズ nghĩa là gì?,,,kích cỡ,tiền thối lại,âm thanh,sự cố
3,Hướng / câu hỏi / số lần,Mina bài 23,8,何回も（なんかいも） nghĩa là gì?,,,nhiều lần,lần thứ nhất,cái nào,bằng cách nào
3,Hướng / câu hỏi / số lần,Mina bài 23,9,〜め nghĩa là gì?,,,thứ...,nhiều lần,bên phải,thẳng
3,Hướng / câu hỏi / số lần,Mina bài 23,10,さびしい nghĩa là gì?,,,buồn / cô đơn,vui,tiện lợi,nguy hiểm ---
