group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
5,Việt → Nhật / động từ,Mina bài 18,1,“có thể / biết làm” là từ nào?,“có thể / biết làm” là từ nào?,Chọn từ tiếng Nhật cho “có thể / biết làm”.,できます,あらいます,すてます,よやくします
5,Việt → Nhật / động từ,Mina bài 18,2,“rửa” là từ nào?,“rửa” là từ nào?,Chọn từ tiếng Nhật cho “rửa”.,あらいます,できます,かえます,うんてんします
5,Việt → Nhật / động từ,Mina bài 18,3,“chơi đàn / kéo” là từ nào?,“chơi đàn / kéo” là từ nào?,Chọn từ tiếng Nhật cho “chơi đàn / kéo”.,ひきます,うたいます,あつめます,けんがくします
5,Việt → Nhật / động từ,Mina bài 18,4,“hát” là từ nào?,“hát” là từ nào?,Chọn từ tiếng Nhật cho “hát”.,うたいます,ひきます,すてます,あらいます
5,Việt → Nhật / động từ,Mina bài 18,5,“sưu tầm / thu thập” là từ nào?,“sưu tầm / thu thập” là từ nào?,Chọn từ tiếng Nhật cho “sưu tầm / thu thập”.,あつめます,すてます,かえます,よやくします
5,Việt → Nhật / động từ,Mina bài 18,6,“vứt / bỏ” là từ nào?,“vứt / bỏ” là từ nào?,Chọn từ tiếng Nhật cho “vứt / bỏ”.,すてます,あつめます,できます,けんがくします
5,Việt → Nhật / động từ,Mina bài 18,7,“đổi / thay” là từ nào?,“đổi / thay” là từ nào?,Chọn từ tiếng Nhật cho “đổi / thay”.,かえます,あらいます,うんてんします,うたいます
5,Việt → Nhật / động từ,Mina bài 18,8,“lái xe” là từ nào?,“lái xe” là từ nào?,Chọn từ tiếng Nhật cho “lái xe”.,うんてんします,よやくします,ひきます,あつめます
5,Việt → Nhật / động từ,Mina bài 18,9,“đặt trước / đặt chỗ” là từ nào?,“đặt trước / đặt chỗ” là từ nào?,Chọn từ tiếng Nhật cho “đặt trước / đặt chỗ”.,よやくします,けんがくします,かえます,すてます
5,Việt → Nhật / động từ,Mina bài 18,10,“tham quan học tập” là từ nào?,“tham quan học tập” là từ nào?,Chọn từ tiếng Nhật cho “tham quan học tập”.,けんがくします,よやくします,できます,うたいます
