group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Đồ vật / mua sắm,Mina bài 3,1,くつ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,giày,cà vạt,rượu vang,thuốc lá
4,Đồ vật / mua sắm,Mina bài 3,2,ネクタイ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,cà vạt,giày,điện thoại,quầy bán hàng
4,Đồ vật / mua sắm,Mina bài 3,3,ワイン nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,rượu vang,thuốc lá,cà vạt,điện thoại
4,Đồ vật / mua sắm,Mina bài 3,4,たばこ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,thuốc lá,rượu vang,giày,cà vạt
4,Đồ vật / mua sắm,Mina bài 3,5,〜かい nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,tầng ...,... yên,tầng mấy,bao nhiêu tiền
4,Đồ vật / mua sắm,Mina bài 3,6,なんがい nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,tầng mấy,bao nhiêu tiền,tầng hầm,quầy bán hàng
4,Đồ vật / mua sắm,Mina bài 3,7,〜えん nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,... yên,tầng ...,một trăm,một nghìn
4,Đồ vật / mua sắm,Mina bài 3,8,いくら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,bao nhiêu tiền,tầng mấy,ở đâu,phía nào
4,Đồ vật / mua sắm,Mina bài 3,9,ひゃく nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,một trăm,một nghìn,mười nghìn,bao nhiêu tiền
4,Đồ vật / mua sắm,Mina bài 3,10,せん nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,một nghìn,một trăm,mười nghìn,... yên
