group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,1,10年前 に　にほんへ　きました。,Tôi đã đến Nhật 10 năm trước.,じゅうねん,じゅねん,じゅっねん,じゅうね
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,2,えんぴつの 先 を　ほそく　します。,Làm cho đầu bút chì nhọn/mảnh.,せん,さき,かど,うえ
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,3,茶色 の　くつを　かいました。,Tôi đã mua đôi giày màu nâu.,じゃいろ,ちゃっいろ,じゃっいろ,ちゃいろ
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,4,毎日　にほんごを　べんきょうしています。,Tôi học tiếng Nhật mỗi ngày.,まえにち,まいじつ,まいりち,まいにち
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,5,白い　くつしたを　かいました。,Tôi đã mua đôi tất màu trắng.,あおい,くろい,しろい,あかい
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,6,これは 大切 な　ものです。,Đây là đồ quan trọng.,だいせつ,だいせっつ,たいせつ,たいせっつ
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,7,この 喫茶店 で　よく　コーヒーを　のみます。,Tôi thường uống cà phê ở quán cà phê này.,きさてん,きちゃてん,きっさてん,きっさでん
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,8,つくえの　うえに 鉛筆 が　ごほん　あります。,Trên bàn có 5 cây bút chì.,えむひつ,えんぴつ,えむぴつ,えんびつ
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,9,わたしの　へやは 明るいです。,Phòng của tôi sáng.,あがるい,あっかるい,あかるっい,あかるい
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,10,上着 を　ぬぎました。,Tôi đã cởi áo khoác.,うえき,うえぎ,うわき,うわぎ
1,Kanji sang Hiragana,Zettai Goukaku đề 3 - Từ vựng/Kanji 問題1,11,タクシー に　のって　かえりました。,Tôi đã về bằng taxi.,クタシー,タクソー,クタシー,タクシー
