group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,1,Từ nào thuộc nhóm “ý kiến / suy nghĩ”?,Từ nào thuộc nhóm “ý kiến / suy nghĩ”?,意見（いけん）,試合（しあい）,こうつう,月（つき）
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,2,Từ nào thuộc nhóm “đồng ý / phản đối”?,Từ nào thuộc nhóm “đồng ý / phản đối”?,私（わたし）もそう思います（おもいます）,地球（ちきゅう）,じどうしゃ,ニュース
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,3,Từ nào thuộc nhóm “đánh giá tính hữu ích”?,Từ nào thuộc nhóm “đánh giá tính hữu ích”?,役に立ちます（やくにたちます）,勝ちます（かちます）,月（つき）,アニメ
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,4,Từ nào thuộc nhóm “dự đoán”?,Từ nào thuộc nhóm “dự đoán”?,たぶん,むだ,不便（ふべん）,意見（いけん）
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,5,Từ nào thuộc nhóm “thi đấu”?,Từ nào thuộc nhóm “thi đấu”?,試合（しあい）,ニュース,ほうそう,デザイン
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,6,Từ nào thuộc nhóm “giao thông”?,Từ nào thuộc nhóm “giao thông”?,じどうしゃ,アニメ,ゆめ,月（つき）
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,7,Từ nào thuộc nhóm “truyền thông”?,Từ nào thuộc nhóm “truyền thông”?,ニュース,地球（ちきゅう）,ぶっか,こうつう
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,8,Từ nào thuộc nhóm “văn hóa Nhật hiện đại”?,Từ nào thuộc nhóm “văn hóa Nhật hiện đại”?,マンガ,ぶっか,試合（しあい）,地球（ちきゅう）
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,9,Từ nào thuộc nhóm “thiên nhiên / vũ trụ”?,Từ nào thuộc nhóm “thiên nhiên / vũ trụ”?,月（つき）,ニュース,デザイン,こうつう
18,Chọn từ cùng nhóm chủ đề,Mina bài 21,10,Từ nào thuộc nhóm “ước mơ / năng lực đặc biệt”?,Từ nào thuộc nhóm “ước mơ / năng lực đặc biệt”?,てんさい,不便（ふべん）,むだ,試合（しあい）
