group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,1,Từ nào thuộc nhóm “thao tác máy”?,,,回します（まわします）,歩きます（あるきます）,道（みち）,さびしい
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,2,Từ nào thuộc nhóm “kéo / chạm”?,,,引きます（ひきます）,こうさてん,しんごう,おつり
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,3,Từ nào thuộc nhóm “sự cố máy móc”?,,,こしょう,右（みぎ）,角（かど）,サイズ
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,4,Từ nào thuộc nhóm “chất lỏng / nước”?,,,おゆ,音（おと）,たてもの,どれ
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,5,Từ nào thuộc nhóm “âm thanh”?,,,音（おと）,おゆ,こしょう,はし
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,6,Từ nào thuộc nhóm “đường đi”?,,,こうさてん,サイズ,おつり,こしょう
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,7,Từ nào thuộc nhóm “hướng”?,,,左（ひだり）,サイズ,音（おと）,こしょう
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,8,Từ nào thuộc nhóm “hỏi cách đi”?,,,どうやって,右（みぎ）,左（ひだり）,おつり
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,9,Từ nào thuộc nhóm “mua hàng / thanh toán”?,,,おつり,こうさてん,たてもの,はし
15,Chọn từ cùng nhóm chủ đề,Mina bài 23,10,Từ nào thuộc nhóm “cảm xúc”?,,,さびしい,まっすぐ,どの,サイズ ---
