きります	cắt
おくります	gửi
あげます	cho / tặng
もらいます	nhận
かします	cho mượn
かります	mượn
おしえます	dạy / chỉ cho biết
ならいます	học
かけます	gọi điện thoại
て	tay

---

はし	đũa
スプーン	muỗng
ナイフ	dao
フォーク	nĩa
はさみ	kéo
パソコン	máy tính cá nhân
ケータイ	điện thoại di động
メール	email
ねんがじょう	thiệp năm mới
パンチ	cái bấm lỗ

---

ホッチキス	đồ bấm kim
セロテープ	băng keo trong
けしゴム	cục tẩy
かみ	giấy
はな	hoa
シャツ	áo sơ mi
プレゼント	quà tặng
にもつ	hành lý
おかね	tiền
きっぷ	vé

---

クリスマス	Giáng sinh
ちち	bố tôi
はは	mẹ tôi
おとうさん	bố
おかあさん	mẹ
もう	đã... rồi
まだ	chưa
これから	từ bây giờ / sau đây
すてきですね	đẹp quá / tuyệt quá
ごめんください	xin phép / có ai ở nhà không

---

いらっしゃい	mời vào / chào mừng
どうぞ おあがりください	xin mời vào nhà
しつれいします	xin phép / thất lễ
いただきます	mời ăn / tôi xin nhận
ごちそうさまでした	cảm ơn vì bữa ăn
にほんご	tiếng Nhật
えいご	tiếng Anh
かんこくご	tiếng Hàn
ちゅうごくご	tiếng Trung
なんで	bằng gì

---

だれに	cho ai / từ ai
だれから	từ ai
