group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
14,Chọn kanji đúng / sức khỏe,Mina bài 17,1,“cảm lạnh” viết bằng kanji nào?,cảm lạnh,Chọn cách viết kanji đúng.,風邪,熱,病気,喉
14,Chọn kanji đúng / sức khỏe,Mina bài 17,2,“sốt” viết bằng kanji nào?,sốt,Chọn cách viết kanji đúng.,熱,風邪,薬,痛い
14,Chọn kanji đúng / sức khỏe,Mina bài 17,3,“bệnh” viết bằng kanji nào?,bệnh,Chọn cách viết kanji đúng.,病気,病院,風邪,熱
14,Chọn kanji đúng / sức khỏe,Mina bài 17,4,“thuốc” viết bằng kanji nào?,thuốc,Chọn cách viết kanji đúng.,薬,病気,熱,喉
14,Chọn kanji đúng / sức khỏe,Mina bài 17,5,“thời gian” viết bằng kanji nào?,thời gian,Chọn cách viết kanji đúng.,時間,時計,時,間
14,Chọn kanji đúng / sức khỏe,Mina bài 17,6,“cổ họng” viết bằng kanji nào?,cổ họng,Chọn cách viết kanji đúng.,喉,口,歯,耳
14,Chọn kanji đúng / sức khỏe,Mina bài 17,7,“đau” viết bằng kanji nào?,đau,Chọn cách viết kanji đúng.,痛い,危ない,大切,大丈夫
14,Chọn kanji đúng / sức khỏe,Mina bài 17,8,“áo khoác” viết bằng kanji nào?,áo khoác,Chọn cách viết kanji đúng.,上着,下着,服,靴
14,Chọn kanji đúng / sức khỏe,Mina bài 17,9,“đồ lót” viết bằng kanji nào?,đồ lót,Chọn cách viết kanji đúng.,下着,上着,服,帽子
14,Chọn kanji đúng / sức khỏe,Mina bài 17,10,“cấm hút thuốc” viết bằng kanji nào?,cấm hút thuốc,Chọn cách viết kanji đúng.,禁煙,喫煙,風邪,病院
