group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / danh từ,Mina bài 15,1,“sống / cư trú” là từ nào?,“sống / cư trú” là từ nào?,すみます,しります,おもいだします,いらっしゃいます
7,Việt → Nhật / danh từ,Mina bài 15,2,“đang sống” là từ nào?,“đang sống” là từ nào?,すんでいます,しっています,しりません,つかいます
7,Việt → Nhật / danh từ,Mina bài 15,3,“tài liệu” là từ nào?,“tài liệu” là từ nào?,しりょう,カタログ,じこくひょう,せいひん
7,Việt → Nhật / danh từ,Mina bài 15,4,“catalogue” là từ nào?,“catalogue” là từ nào?,カタログ,しりょう,ソフト,でんしじしょ
7,Việt → Nhật / danh từ,Mina bài 15,5,“bảng giờ tàu/xe” là từ nào?,“bảng giờ tàu/xe” là từ nào?,じこくひょう,カタログ,しりょう,ふく
7,Việt → Nhật / danh từ,Mina bài 15,6,“quần áo” là từ nào?,“quần áo” là từ nào?,ふく,せいひん,ソフト,しりょう
7,Việt → Nhật / danh từ,Mina bài 15,7,“sản phẩm” là từ nào?,“sản phẩm” là từ nào?,せいひん,ふく,カタログ,じこくひょう
7,Việt → Nhật / danh từ,Mina bài 15,8,“phần mềm” là từ nào?,“phần mềm” là từ nào?,ソフト,せいひん,でんしじしょ,しりょう
7,Việt → Nhật / danh từ,Mina bài 15,9,“từ điển điện tử” là từ nào?,“từ điển điện tử” là từ nào?,でんしじしょ,ソフト,カタログ,じこくひょう
7,Việt → Nhật / danh từ,Mina bài 15,10,“chuyên môn” là từ nào?,“chuyên môn” là từ nào?,せんもん,はいしゃ,どくしん,ごかぞく
