group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
6,Việt → Nhật / tính từ,Mina bài 12,1,“đơn giản / dễ” là từ nào?,“đơn giản / dễ” là từ nào?,かんたん,近い（ちかい）,遠い（とおい）,重い（おもい）
6,Việt → Nhật / tính từ,Mina bài 12,2,“gần” là từ nào?,“gần” là từ nào?,近い（ちかい）,遠い（とおい）,早い（はやい）,遅い（おそい）
6,Việt → Nhật / tính từ,Mina bài 12,3,“xa” là từ nào?,“xa” là từ nào?,遠い（とおい）,近い（ちかい）,多い（おおい）,少ない（すくない）
6,Việt → Nhật / tính từ,Mina bài 12,4,“nhanh / sớm” là từ nào?,“nhanh / sớm” là từ nào?,早い（はやい）,遅い（おそい）,あたたかい,すずしい
6,Việt → Nhật / tính từ,Mina bài 12,5,“chậm / muộn” là từ nào?,“chậm / muộn” là từ nào?,遅い（おそい）,早い（はやい）,軽い（かるい）,重い（おもい）
6,Việt → Nhật / tính từ,Mina bài 12,6,“nhiều” là từ nào?,“nhiều” là từ nào?,多い（おおい）,少ない（すくない）,あまい,からい
6,Việt → Nhật / tính từ,Mina bài 12,7,“ít” là từ nào?,“ít” là từ nào?,少ない（すくない）,多い（おおい）,重い（おもい）,軽い（かるい）
6,Việt → Nhật / tính từ,Mina bài 12,8,“ấm” là từ nào?,“ấm” là từ nào?,あたたかい,すずしい,からい,あまい
6,Việt → Nhật / tính từ,Mina bài 12,9,“mát mẻ” là từ nào?,“mát mẻ” là từ nào?,すずしい,あたたかい,早い（はやい）,遅い（おそい）
6,Việt → Nhật / tính từ,Mina bài 12,10,“ngọt” là từ nào?,“ngọt” là từ nào?,あまい,からい,重い（おもい）,軽い（かるい）
