group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
15,Đọc kanji / gia đình,Mina bài 11,1,兄 đọc là gì?,ani,Hỏi cách đọc của: 兄,あに,おにいさん,あね,おとうと
15,Đọc kanji / gia đình,Mina bài 11,2,姉 đọc là gì?,ane,Hỏi cách đọc của: 姉,あね,おねえさん,あに,いもうと
15,Đọc kanji / gia đình,Mina bài 11,3,弟 đọc là gì?,otouto,Hỏi cách đọc của: 弟,おとうと,おとうとさん,あに,おにいさん
15,Đọc kanji / gia đình,Mina bài 11,4,妹 đọc là gì?,imouto,Hỏi cách đọc của: 妹,いもうと,いもうとさん,あね,おねえさん
15,Đọc kanji / gia đình,Mina bài 11,5,何 đọc là gì?,nan,Hỏi cách đọc của: 何,なん,なに,どこ,だれ
15,Đọc kanji / gia đình,Mina bài 11,6,円 đọc là gì?,en,Hỏi cách đọc của: 円,えん,まん,せん,ひゃく
15,Đọc kanji / gia đình,Mina bài 11,7,会社 đọc là gì?,kaisha,Hỏi cách đọc của: 会社,かいしゃ,がっこう,うち,みせ
15,Đọc kanji / gia đình,Mina bài 11,8,日本 đọc là gì?,nihon,Hỏi cách đọc của: 日本,にほん,にちほん,ひほん,にっほん
15,Đọc kanji / gia đình,Mina bài 11,9,天気 đọc là gì?,tenki,Hỏi cách đọc của: 天気,てんき,でんき,てき,てんぎ
15,Đọc kanji / gia đình,Mina bài 11,10,行ってきます đọc là gì?,ittekimasu,Hỏi cách đọc của: 行ってきます,いってきます,いってらっしゃい,いってまいります,いきます
