group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Động từ / gặp gỡ,Mina bài 6,1,あいます nghĩa là gì?,Nghĩa là gì?,gặp,làm,mua,nghe
2,Động từ / gặp gỡ,Mina bài 6,2,ごはんを 食べます（たべます） nghĩa là gì?,Nghĩa là gì?,ăn cơm,uống nước,đọc sách,viết thư
2,Động từ / gặp gỡ,Mina bài 6,3,水（みず）を 飲みます（のみます） nghĩa là gì?,Nghĩa là gì?,uống nước,ăn cơm,hút thuốc,xem video
2,Động từ / gặp gỡ,Mina bài 6,4,たばこを すいます nghĩa là gì?,Nghĩa là gì?,hút thuốc lá,uống trà,ăn rau,mua trái cây
2,Động từ / gặp gỡ,Mina bài 6,5,ビデオを 見ます（みます） nghĩa là gì?,Nghĩa là gì?,xem video,nghe nhạc,đọc báo cáo,viết thư
2,Động từ / gặp gỡ,Mina bài 6,6,テープを 聞きます（ききます） nghĩa là gì?,Nghĩa là gì?,nghe băng,xem ảnh,đọc thư,chụp ảnh
2,Động từ / gặp gỡ,Mina bài 6,7,手紙（てがみ）を 読みます（よみます） nghĩa là gì?,Nghĩa là gì?,đọc thư,viết thư,mua thư,chụp thư
2,Động từ / gặp gỡ,Mina bài 6,8,レポートを 書きます（かきます） nghĩa là gì?,Nghĩa là gì?,viết báo cáo,đọc báo cáo,xem báo cáo,mua báo cáo
2,Động từ / gặp gỡ,Mina bài 6,9,写真（しゃしん）を とります nghĩa là gì?,Nghĩa là gì?,chụp ảnh,xem ảnh,đọc ảnh,uống ảnh
2,Động từ / gặp gỡ,Mina bài 6,10,ともだちに あいます nghĩa là gì?,Nghĩa là gì?,gặp bạn bè,đi với bạn bè,ăn cùng bạn bè,mua cho bạn bè
