group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Động từ giao tiếp / hành động,Mina bài 24,1,教えます（おしえます） nghĩa là gì?,Oshiemasu nghĩa là gì,教えます（おしえます） nghĩa là gì?,dạy / chỉ cho biết,viết,gọi,cầm / mang
2,Động từ giao tiếp / hành động,Mina bài 24,2,書きます（かきます） nghĩa là gì?,Kakimasu nghĩa là gì,書きます（かきます） nghĩa là gì?,viết,gọi,dạy,giúp đỡ
2,Động từ giao tiếp / hành động,Mina bài 24,3,呼びます（よびます） nghĩa là gì?,Yobimasu nghĩa là gì,呼びます（よびます） nghĩa là gì?,gọi,viết,cầm,cho mượn
2,Động từ giao tiếp / hành động,Mina bài 24,4,持ちます（もちます） nghĩa là gì?,Mochimasu nghĩa là gì,持ちます（もちます） nghĩa là gì?,cầm / mang,gọi,viết,giải thích
2,Động từ giao tiếp / hành động,Mina bài 24,5,おじいさん nghĩa là gì?,Ojiisan nghĩa là gì,おじいさん nghĩa là gì?,ông / cụ ông,bà / cụ bà,ông,bà
2,Động từ giao tiếp / hành động,Mina bài 24,6,おじいちゃん nghĩa là gì?,Ojiichan nghĩa là gì,おじいちゃん nghĩa là gì?,ông,bà,cụ bà,người mẹ
2,Động từ giao tiếp / hành động,Mina bài 24,7,おばあさん nghĩa là gì?,Obaasan nghĩa là gì,おばあさん nghĩa là gì?,bà / cụ bà,ông / cụ ông,ông,người cha
2,Động từ giao tiếp / hành động,Mina bài 24,8,おばあちゃん nghĩa là gì?,Obaachan nghĩa là gì,おばあちゃん nghĩa là gì?,bà,ông,cụ ông,bạn bè
2,Động từ giao tiếp / hành động,Mina bài 24,9,準備（じゅんび） nghĩa là gì?,Junbi nghĩa là gì,準備（じゅんび） nghĩa là gì?,chuẩn bị,chuyển nhà,quà tặng,toàn bộ
2,Động từ giao tiếp / hành động,Mina bài 24,10,引っ越し（ひっこし） nghĩa là gì?,Hikkoshi nghĩa là gì,引っ越し（ひっこし） nghĩa là gì?,chuyển nhà,chuẩn bị,giới thiệu,hướng dẫn
