group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Đồ dùng học tập / văn phòng,Mina bài 2,1,ノート nghĩa là gì?,Hỏi nghĩa tiếng Việt của: ノート,sổ tay,vở,danh thiếp,thẻ
2,Đồ dùng học tập / văn phòng,Mina bài 2,2,てちょう nghĩa là gì?,Hỏi nghĩa tiếng Việt của: てちょう,vở,sổ tay,sách,báo
2,Đồ dùng học tập / văn phòng,Mina bài 2,3,めいし nghĩa là gì?,Hỏi nghĩa tiếng Việt của: めいし,danh thiếp,thẻ,chìa khóa,đồng hồ
2,Đồ dùng học tập / văn phòng,Mina bài 2,4,カード nghĩa là gì?,Hỏi nghĩa tiếng Việt của: カード,thẻ,danh thiếp,bút bi,bút chì
2,Đồ dùng học tập / văn phòng,Mina bài 2,5,テレホンカード nghĩa là gì?,Hỏi nghĩa tiếng Việt của: テレホンカード,thẻ ngân hàng,thẻ điện thoại,danh thiếp,sổ tay
2,Đồ dùng học tập / văn phòng,Mina bài 2,6,えんぴつ nghĩa là gì?,Hỏi nghĩa tiếng Việt của: えんぴつ,bút bi,bút chì,bút chì kim,chìa khóa
2,Đồ dùng học tập / văn phòng,Mina bài 2,7,ボールペン nghĩa là gì?,Hỏi nghĩa tiếng Việt của: ボールペン,bút chì,bút bi,bút chì kim,sổ tay
2,Đồ dùng học tập / văn phòng,Mina bài 2,8,シャープペンシル nghĩa là gì?,Hỏi nghĩa tiếng Việt của: シャープペンシル,bút chì,bút chì kim,bút bi,danh thiếp
2,Đồ dùng học tập / văn phòng,Mina bài 2,9,かぎ nghĩa là gì?,Hỏi nghĩa tiếng Việt của: かぎ,đồng hồ,chìa khóa,ô / dù,túi xách
2,Đồ dùng học tập / văn phòng,Mina bài 2,10,とけい nghĩa là gì?,Hỏi nghĩa tiếng Việt của: とけい,đồng hồ,chìa khóa,máy ảnh,radio
