group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,1,これは 本（ほん）＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,です,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,2,それは なん＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,ですか,ますか,でした,ません
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,3,これは 日本語（にほんご）の じしょ＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,です,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,4,この ノート＿＿＿ わたしのです。,Chọn từ/cụm phù hợp để hoàn thành câu.,は,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,5,その かばん＿＿＿ だれのですか。,Chọn từ/cụm phù hợp để hoàn thành câu.,は,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,6,あれは カメラ＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,です,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,7,これは えいご＿＿＿ 本（ほん）です。,Chọn từ/cụm phù hợp để hoàn thành câu.,の,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,8,これは わたし＿＿＿ かぎです。,Chọn từ/cụm phù hợp để hoàn thành câu.,の,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,9,これは テレビです＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,か,を,に,で
14,Chọn trợ từ / cụm phù hợp,Mina bài 2,10,いいえ、＿＿＿。,Chọn từ/cụm phù hợp để hoàn thành câu.,ちがいます,そうですか,ありがとうございます,どうぞ
