group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
3,Hỏi thông tin cá nhân,Mina bài 1,1,びょういん nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,đại học,bệnh viện,công ty,ngân hàng
3,Hỏi thông tin cá nhân,Mina bài 1,2,でんき nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,điện / đèn,bác sĩ,đại học,tuổi
3,Hỏi thông tin cá nhân,Mina bài 1,3,だれ nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,ai,bạn,tôi,mọi người
3,Hỏi thông tin cá nhân,Mina bài 1,4,どなた nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,ai / vị nào,mấy tuổi,tên gì,từ đâu đến
3,Hỏi thông tin cá nhân,Mina bài 1,5,〜さい nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,... tuổi,người nước...,anh/chị...,tên...
3,Hỏi thông tin cá nhân,Mina bài 1,6,なんさい nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,ai,mấy tuổi,mọi người,người kia
3,Hỏi thông tin cá nhân,Mina bài 1,7,おいくつ nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,bao nhiêu tuổi,tên là gì,đến từ đâu,vị nào
3,Hỏi thông tin cá nhân,Mina bài 1,8,はい nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,không,vâng,xin lỗi,lần đầu gặp
3,Hỏi thông tin cá nhân,Mina bài 1,9,いいえ nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,vâng,không,rất vui được gặp,xin lỗi
3,Hỏi thông tin cá nhân,Mina bài 1,10,しつれいですが nghĩa là gì?,Chọn nghĩa tiếng Việt đúng của từ/cụm trong câu hỏi.,xin lỗi / thất lễ nhưng...,rất mong được giúp đỡ,đây là anh/chị...,đến từ...
