group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Thi đấu / giao thông / truyền thông,Mina bài 21,1,勝ちます（かちます） nghĩa là gì?,勝ちます（かちます） nghĩa là gì?,thắng,thua,dừng,chạy
4,Thi đấu / giao thông / truyền thông,Mina bài 21,2,負けます（まけます） nghĩa là gì?,負けます（まけます） nghĩa là gì?,thua,thắng,bỏ,cẩn thận
4,Thi đấu / giao thông / truyền thông,Mina bài 21,3,試合（しあい） nghĩa là gì?,試合（しあい） nghĩa là gì?,trận đấu,tin tức,phát sóng,thiết kế
4,Thi đấu / giao thông / truyền thông,Mina bài 21,4,あります nghĩa là gì trong “試合があります”?,あります nghĩa là gì trong “試合があります”?,được tổ chức / có,thắng,thua,dừng
4,Thi đấu / giao thông / truyền thông,Mina bài 21,5,やめます nghĩa là gì?,やめます nghĩa là gì?,nghỉ / bỏ / dừng,thắng,chuyển động,phát sóng
4,Thi đấu / giao thông / truyền thông,Mina bài 21,6,気をつけます（きをつけます） nghĩa là gì?,気をつけます（きをつけます） nghĩa là gì?,chú ý / cẩn thận,thắng,bỏ,chuyển động
4,Thi đấu / giao thông / truyền thông,Mina bài 21,7,うごきます nghĩa là gì?,うごきます nghĩa là gì?,chuyển động / chạy,dừng,bỏ,thắng
4,Thi đấu / giao thông / truyền thông,Mina bài 21,8,じどうしゃ nghĩa là gì?,じどうしゃ nghĩa là gì?,ô tô / xe hơi,giao thông,phát sóng,thiết kế
4,Thi đấu / giao thông / truyền thông,Mina bài 21,9,こうつう nghĩa là gì?,こうつう nghĩa là gì?,giao thông,ô tô,tin tức,vật giá
4,Thi đấu / giao thông / truyền thông,Mina bài 21,10,ぶっか nghĩa là gì?,ぶっか nghĩa là gì?,vật giá,giao thông,phát sóng,thiết kế
