group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,1,田舎（いなか） nghĩa là gì?,田舎（いなか） nghĩa là gì?,quê / nông thôn,thành phố,Nhật Bản,Việt Nam
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,2,億（おく） nghĩa là gì?,億（おく） nghĩa là gì?,một trăm triệu,một triệu,mười nghìn,một nghìn
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,3,ベトナム nghĩa là gì?,ベトナム nghĩa là gì?,Việt Nam,Nhật Bản,Tokyo,Osaka
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,4,日本（にほん） nghĩa là gì?,日本（にほん） nghĩa là gì?,Nhật Bản,Việt Nam,Tokyo,Osaka
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,5,東京（とうきょう） nghĩa là gì?,東京（とうきょう） nghĩa là gì?,Tokyo,Osaka,Nhật Bản,Việt Nam
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,6,大阪（おおさか） nghĩa là gì?,大阪（おおさか） nghĩa là gì?,Osaka,Tokyo,Việt Nam,Nhật Bản
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,7,いっぱい飲みましょう（いっぱいのみましょう） nghĩa là gì?,いっぱい飲みましょう（いっぱいのみましょう） nghĩa là gì?,uống một ly nhé,cố gắng nhé,đến Tokyo nhé,về quê nhé
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,8,いろいろお世話になりました（いろいろおせわになりました） nghĩa là gì?,いろいろお世話になりました（いろいろおせわになりました） nghĩa là gì?,cảm ơn vì đã giúp đỡ nhiều,chúc mạnh khỏe,uống một ly nhé,tôi chuyển công tác
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,9,どうぞお元気で（どうぞおげんきで） nghĩa là gì?,どうぞお元気で（どうぞおげんきで） nghĩa là gì?,chúc mạnh khỏe,cảm ơn nhiều,cố gắng nhé,xin chào
2,Nhật → Việt / địa danh và câu giao tiếp,Mina bài 25,10,転勤（てんきん）で 大阪（おおさか）へ 行きます nghĩa là gì?,転勤（てんきん）で 大阪（おおさか）へ 行きます nghĩa là gì?,Chuyển công tác đi Osaka.,Đi du lịch Osaka.,Về quê ở Osaka.,Đến Tokyo làm việc.
