group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,1,“cay” là từ nào?,“cay” là từ nào?,“cay” là từ nào?,からい,あまい,いい,かんたん
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,2,“nặng” là từ nào?,“nặng” là từ nào?,“nặng” là từ nào?,重い（おもい）,軽い（かるい）,多い（おおい）,少ない（すくない）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,3,“nhẹ” là từ nào?,“nhẹ” là từ nào?,“nhẹ” là từ nào?,軽い（かるい）,重い（おもい）,近い（ちかい）,遠い（とおい）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,4,“tốt” là từ nào?,“tốt” là từ nào?,“tốt” là từ nào?,いい,からい,あまい,すずしい
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,5,“mùa” là từ nào?,“mùa” là từ nào?,“mùa” là từ nào?,きせつ,天気（てんき）,雨（あめ）,雪（ゆき）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,6,“mùa xuân” là từ nào?,“mùa xuân” là từ nào?,“mùa xuân” là từ nào?,春（はる）,夏（なつ）,秋（あき）,冬（ふゆ）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,7,“mùa hè” là từ nào?,“mùa hè” là từ nào?,“mùa hè” là từ nào?,夏（なつ）,春（はる）,秋（あき）,冬（ふゆ）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,8,“mùa thu” là từ nào?,“mùa thu” là từ nào?,“mùa thu” là từ nào?,秋（あき）,夏（なつ）,春（はる）,冬（ふゆ）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,9,“mùa đông” là từ nào?,“mùa đông” là từ nào?,“mùa đông” là từ nào?,冬（ふゆ）,春（はる）,夏（なつ）,秋（あき）
7,Việt → Nhật / mùa và thời tiết,Mina bài 12,10,“thời tiết” là từ nào?,“thời tiết” là từ nào?,“thời tiết” là từ nào?,天気（てんき）,きせつ,くもり,まつり
