group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,1,“vật giá” là từ nào?,“vật giá” là từ nào?,ぶっか,こうつう,じどうしゃ,デザイン
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,2,“phát sóng” là từ nào?,“phát sóng” là từ nào?,ほうそう,ニュース,アニメ,マンガ
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,3,“tin tức” là từ nào?,“tin tức” là từ nào?,ニュース,ほうそう,アニメ,デザイン
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,4,“anime / phim hoạt hình” là từ nào?,“anime / phim hoạt hình” là từ nào?,アニメ,マンガ,ニュース,ほうそう
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,5,“manga / truyện tranh” là từ nào?,“manga / truyện tranh” là từ nào?,マンガ,アニメ,デザイン,ニュース
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,6,“thiết kế” là từ nào?,“thiết kế” là từ nào?,デザイン,マンガ,アニメ,ほうそう
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,7,“giấc mơ / ước mơ” là từ nào?,“giấc mơ / ước mơ” là từ nào?,ゆめ,てんさい,地球（ちきゅう）,月（つき）
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,8,“thiên tài” là từ nào?,“thiên tài” là từ nào?,てんさい,ゆめ,地球（ちきゅう）,デザイン
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,9,“Trái Đất” là từ nào?,“Trái Đất” là từ nào?,地球（ちきゅう）,月（つき）,ゆめ,てんさい
9,Việt → Nhật / truyền thông và thiên nhiên,Mina bài 21,10,“mặt trăng” là từ nào?,“mặt trăng” là từ nào?,月（つき）,地球（ちきゅう）,太陽（たいよう）,星（ほし）
