group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,1,Từ nào thuộc nhóm “động từ cho/nhận”?,Từ nào thuộc nhóm “động từ cho/nhận”?,Chọn từ cùng nhóm chủ đề.,あげます,きります,かけます,ならいます
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,2,Từ nào thuộc nhóm “động từ học tập”?,Từ nào thuộc nhóm “động từ học tập”?,Chọn từ cùng nhóm chủ đề.,ならいます,おくります,もらいます,かします
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,3,Từ nào thuộc nhóm “dụng cụ ăn uống”?,Từ nào thuộc nhóm “dụng cụ ăn uống”?,Chọn từ cùng nhóm chủ đề.,はし,ホッチキス,パソコン,ケータイ
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,4,Từ nào thuộc nhóm “văn phòng phẩm”?,Từ nào thuộc nhóm “văn phòng phẩm”?,Chọn từ cùng nhóm chủ đề.,セロテープ,スプーン,ナイフ,フォーク
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,5,Từ nào thuộc nhóm “thiết bị điện tử”?,Từ nào thuộc nhóm “thiết bị điện tử”?,Chọn từ cùng nhóm chủ đề.,パソコン,はな,シャツ,きっぷ
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,6,Từ nào thuộc nhóm “quà / đồ nhận tặng”?,Từ nào thuộc nhóm “quà / đồ nhận tặng”?,Chọn từ cùng nhóm chủ đề.,プレゼント,パンチ,ケータイ,スプーン
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,7,Từ nào thuộc nhóm “gia đình”?,Từ nào thuộc nhóm “gia đình”?,Chọn từ cùng nhóm chủ đề.,母（はは）,メール,かみ,きっぷ
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,8,Từ nào thuộc nhóm “ngôn ngữ”?,Từ nào thuộc nhóm “ngôn ngữ”?,Chọn từ cùng nhóm chủ đề.,かんこくご,クリスマス,プレゼント,ホッチキス
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,9,Từ nào thuộc nhóm “câu chào khi vào nhà”?,Từ nào thuộc nhóm “câu chào khi vào nhà”?,Chọn từ cùng nhóm chủ đề.,ごめんください,ごちそうさまでした,いただきます,すてきですね
15,Chọn từ cùng nhóm chủ đề,Mina bài 7,10,Từ nào thuộc nhóm “câu dùng khi ăn”?,Từ nào thuộc nhóm “câu dùng khi ăn”?,Chọn từ cùng nhóm chủ đề.,いただきます,なんで,だれから,これから
