group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
3,Đồ vật / thông tin cá nhân,Mina bài 14,1,エアコン nghĩa là gì?,エアコン nghĩa là gì?,máy lạnh / điều hòa,hộ chiếu,bản đồ,địa chỉ
3,Đồ vật / thông tin cá nhân,Mina bài 14,2,パスポート nghĩa là gì?,パスポート nghĩa là gì?,hộ chiếu,tên,địa chỉ,bản đồ
3,Đồ vật / thông tin cá nhân,Mina bài 14,3,名前（なまえ） nghĩa là gì?,名前（なまえ） nghĩa là gì?,tên,địa chỉ,cách đọc,hộ chiếu
3,Đồ vật / thông tin cá nhân,Mina bài 14,4,じゅうしょ nghĩa là gì?,じゅうしょ nghĩa là gì?,địa chỉ,tên,bản đồ,muối
3,Đồ vật / thông tin cá nhân,Mina bài 14,5,地図（ちず） nghĩa là gì?,地図（ちず） nghĩa là gì?,bản đồ,địa chỉ,đường,muối
3,Đồ vật / thông tin cá nhân,Mina bài 14,6,しお nghĩa là gì?,しお nghĩa là gì?,muối,đường,bản đồ,tiền thối lại
3,Đồ vật / thông tin cá nhân,Mina bài 14,7,さとう nghĩa là gì?,さとう nghĩa là gì?,đường,muối,tên,địa chỉ
3,Đồ vật / thông tin cá nhân,Mina bài 14,8,読み方（よみかた） nghĩa là gì?,読み方（よみかた） nghĩa là gì?,cách đọc,cách viết,tên,bản đồ
3,Đồ vật / thông tin cá nhân,Mina bài 14,9,〜かた nghĩa là gì?,〜かた nghĩa là gì?,cách...,người...,nơi...,lần...
3,Đồ vật / thông tin cá nhân,Mina bài 14,10,おつり nghĩa là gì?,おつり nghĩa là gì?,tiền thối lại,hộ chiếu,địa chỉ,bản đồ
