group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
9,Việt → Nhật / mô tả,Mina bài 22,1,“màu vàng” là từ nào?,Chọn tiếng Nhật tương ứng.,黄色い（きいろい）,ちゃいろい,青い（あおい）,赤い（あかい）
9,Việt → Nhật / mô tả,Mina bài 22,2,“màu nâu” là từ nào?,Chọn tiếng Nhật tương ứng.,ちゃいろい,黄色い（きいろい）,黒い（くろい）,白い（しろい）
9,Việt → Nhật / mô tả,Mina bài 22,3,“mới” là từ nào?,Chọn tiếng Nhật tương ứng.,新しい（あたらしい）,古い（ふるい）,安い（やすい）,高い（たかい）
9,Việt → Nhật / mô tả,Mina bài 22,4,“cũ” là từ nào?,Chọn tiếng Nhật tương ứng.,古い（ふるい）,新しい（あたらしい）,すてき,かわいい
9,Việt → Nhật / mô tả,Mina bài 22,5,“đẹp / tuyệt” là từ nào?,Chọn tiếng Nhật tương ứng.,すてき,かわいい,安い（やすい）,古い（ふるい）
9,Việt → Nhật / mô tả,Mina bài 22,6,“dễ thương” là từ nào?,Chọn tiếng Nhật tương ứng.,かわいい,すてき,高い（たかい）,新しい（あたらしい）
9,Việt → Nhật / mô tả,Mina bài 22,7,“rẻ” là từ nào?,Chọn tiếng Nhật tương ứng.,安い（やすい）,高い（たかい）,古い（ふるい）,白い（しろい）
9,Việt → Nhật / mô tả,Mina bài 22,8,“đắt / cao” là từ nào?,Chọn tiếng Nhật tương ứng.,高い（たかい）,安い（やすい）,背が低い（せがひくい）,かわいい
9,Việt → Nhật / mô tả,Mina bài 22,9,“dáng cao” là cụm nào?,Chọn tiếng Nhật tương ứng.,背が高い（せがたかい）,背が低い（せがひくい）,かみが長い（かみがながい）,かみが短い（かみがみじかい）
9,Việt → Nhật / mô tả,Mina bài 22,10,“tóc dài” là cụm nào?,Chọn tiếng Nhật tương ứng.,かみが長い（かみがながい）,かみが短い（かみがみじかい）,背が高い（せがたかい）,背が低い（せがひくい）
