group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
13,Âm ghép đục / bán đục,Âm ghép,121,リョ,ryo,ryo,ryo,rya,ryu,ro
13,Âm ghép đục / bán đục,Âm ghép,122,ギャ,gya,gya,gya,gyu,gyo,ga
13,Âm ghép đục / bán đục,Âm ghép,123,ギュ,gyu,gyu,gyu,gya,gyo,gu
13,Âm ghép đục / bán đục,Âm ghép,124,ギョ,gyo,gyo,gyo,gya,gyu,go
13,Âm ghép đục / bán đục,Âm ghép,125,ジャ,ja,ja,ja,ju,jo,ji
13,Âm ghép đục / bán đục,Âm ghép,126,ジュ,ju,ju,ju,ja,jo,zu
13,Âm ghép đục / bán đục,Âm ghép,127,ジョ,jo,jo,jo,ja,ju,zo
13,Âm ghép đục / bán đục,Âm ghép,128,ビャ,bya,bya,bya,byu,byo,ba
13,Âm ghép đục / bán đục,Âm ghép,129,ピュ,pyu,pyu,pyu,pya,pyo,pu
13,Âm ghép đục / bán đục,Âm ghép,130,ピョ,pyo,pyo,pyo,pya,pyu,po
