group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
4,Nghề nghiệp / nơi chốn,Mina bài 15,1,せんもん nghĩa là gì?,せんもん nghĩa là gì?,chuyên môn,nha sĩ,độc thân,gia đình
4,Nghề nghiệp / nơi chốn,Mina bài 15,2,はいしゃ nghĩa là gì?,はいしゃ nghĩa là gì?,nha sĩ,nhân viên công ty,tiệm cắt tóc,trường cấp 3
4,Nghề nghiệp / nơi chốn,Mina bài 15,3,かいしゃいん nghĩa là gì?,かいしゃいん nghĩa là gì?,nhân viên công ty,nha sĩ,chuyên môn,độc thân
4,Nghề nghiệp / nơi chốn,Mina bài 15,4,ごかぞく nghĩa là gì?,ごかぞく nghĩa là gì?,gia đình của người khác,gia đình tôi,nhân viên công ty,độc thân
4,Nghề nghiệp / nơi chốn,Mina bài 15,5,どくしん nghĩa là gì?,どくしん nghĩa là gì?,độc thân,gia đình,chuyên môn,nha sĩ
4,Nghề nghiệp / nơi chốn,Mina bài 15,6,とこや nghĩa là gì?,とこや nghĩa là gì?,tiệm cắt tóc,quầy bán vé,trường cấp 3,Nihonbashi
4,Nghề nghiệp / nơi chốn,Mina bài 15,7,プレイガイド nghĩa là gì?,プレイガイド nghĩa là gì?,quầy bán vé,tiệm cắt tóc,trường cấp 3,công ty
4,Nghề nghiệp / nơi chốn,Mina bài 15,8,こうこう nghĩa là gì?,こうこう nghĩa là gì?,trường cấp 3,đại học,công ty,nha sĩ
4,Nghề nghiệp / nơi chốn,Mina bài 15,9,にほんばし nghĩa là gì?,にほんばし nghĩa là gì?,Nihonbashi,Osaka,Tokyo,Kobe
4,Nghề nghiệp / nơi chốn,Mina bài 15,10,せんもんは けいざいです nghĩa là gì?,せんもんは けいざいです nghĩa là gì?,Chuyên môn là kinh tế.,Công ty là kinh tế.,Người đó là nha sĩ.,Gia đình ở Nihonbashi.
