group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Đồ uống / thuốc lá,Mina bài 6,1,水（みず） nghĩa là gì?,Mizu,Nghĩa là gì?,nước,trà,sữa bò,nước ép
4,Đồ uống / thuốc lá,Mina bài 6,2,おちゃ nghĩa là gì?,Ocha,Nghĩa là gì?,trà,trà đen,sữa bò,bia
4,Đồ uống / thuốc lá,Mina bài 6,3,こうちゃ nghĩa là gì?,Koucha,Nghĩa là gì?,trà đen,trà,nước,rượu
4,Đồ uống / thuốc lá,Mina bài 6,4,ぎゅうにゅう nghĩa là gì?,Gyuunyuu,Nghĩa là gì?,sữa bò,nước ép,trà,bia
4,Đồ uống / thuốc lá,Mina bài 6,5,ジュース nghĩa là gì?,Juusu,Nghĩa là gì?,nước ép,sữa bò,trà đen,nước
4,Đồ uống / thuốc lá,Mina bài 6,6,ビール nghĩa là gì?,Biiru,Nghĩa là gì?,bia,rượu,trà,nước ép
4,Đồ uống / thuốc lá,Mina bài 6,7,おさけ nghĩa là gì?,Osake,Nghĩa là gì?,rượu,bia,sữa bò,nước
4,Đồ uống / thuốc lá,Mina bài 6,8,たばこ nghĩa là gì?,Tabako,Nghĩa là gì?,thuốc lá,rượu,bia,trà
4,Đồ uống / thuốc lá,Mina bài 6,9,おちゃを 飲みます（のみます） nghĩa là gì?,Ochao nomimasu(nomimasu),Nghĩa là gì?,uống trà,ăn trà,mua trà,xem trà
4,Đồ uống / thuốc lá,Mina bài 6,10,たばこを すいません nghĩa là gì?,Tabakoo suimasen,Nghĩa là gì?,không hút thuốc,hút thuốc,mua thuốc lá,uống thuốc lá
