group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
12,Điền vào câu / ngữ cảnh,Mina bài 7,1,ナイフで パンを＿＿＿。,naifude pano___.,Điền/chọn đáp án phù hợp.,きります,おくります,あげます,かります
12,Điền vào câu / ngữ cảnh,Mina bài 7,2,はしで ごはんを 食べます（たべます）。スプーンで＿＿＿を 食べます（たべます）。,hashide gohano tabemasu.supuunde___o tabemasu.,Điền/chọn đáp án phù hợp.,ごはん,メール,電話（でんわ）,きっぷ
12,Điền vào câu / ngữ cảnh,Mina bài 7,3,クリスマスに プレゼントを＿＿＿。,kurisumasuni purezentoo___.,Điền/chọn đáp án phù hợp.,あげます,きります,かけます,ならいます
12,Điền vào câu / ngữ cảnh,Mina bài 7,4,ねんがじょうを＿＿＿。,nengajouo___.,Điền/chọn đáp án phù hợp.,おくります,きります,かります,かけます
12,Điền vào câu / ngữ cảnh,Mina bài 7,5,けしゴムを＿＿＿。,keshigomuo___.,Điền/chọn đáp án phù hợp.,かります,おしえます,きります,ならいます
12,Điền vào câu / ngữ cảnh,Mina bài 7,6,かみを ホッチキスで＿＿＿。,kamio hocchikisude___.,Điền/chọn đáp án phù hợp.,とめます,のみます,食べます（たべます）,聞きます（ききます）
12,Điền vào câu / ngữ cảnh,Mina bài 7,7,これから 日本語（にほんご）を＿＿＿。,korekara nihongoo___.,Điền/chọn đáp án phù hợp.,ならいます,おくります,きります,かけます
12,Điền vào câu / ngữ cảnh,Mina bài 7,8,もう 手紙（てがみ）を＿＿＿。,mou tegamio___.,Điền/chọn đáp án phù hợp.,おくりました,おくります,おくりません,おくりましょう
12,Điền vào câu / ngữ cảnh,Mina bài 7,9,まだ レポートを＿＿＿。,mada repootoo___.,Điền/chọn đáp án phù hợp.,書きません（かきません）,書きます（かきます）,書きました（かきました）,書きましょう（かきましょう）
12,Điền vào câu / ngữ cảnh,Mina bài 7,10,すてきな＿＿＿ですね。,sutekina___desune.,Điền/chọn đáp án phù hợp.,はな,メール,なんで,だれから
