group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
1,Địa điểm / phương hướng,Mina bài 3,1,ここ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,chỗ đó / ở đó,chỗ này / ở đây,chỗ kia / ở kia,ở đâu
1,Địa điểm / phương hướng,Mina bài 3,2,そこ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,chỗ này / ở đây,chỗ đó / ở đó,chỗ kia / ở kia,phía nào
1,Địa điểm / phương hướng,Mina bài 3,3,あそこ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,chỗ kia / ở kia,chỗ này / ở đây,chỗ đó / ở đó,ở đâu
1,Địa điểm / phương hướng,Mina bài 3,4,どこ nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,ở đây,ở đó,ở kia,ở đâu
1,Địa điểm / phương hướng,Mina bài 3,5,こちら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phía này / đây,phía đó / đó,phía kia / kia,phía nào
1,Địa điểm / phương hướng,Mina bài 3,6,そちら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phía này / đây,phía đó / đó,phía kia / kia,ở đâu
1,Địa điểm / phương hướng,Mina bài 3,7,あちら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phía này / đây,phía đó / đó,phía kia / kia,chỗ này
1,Địa điểm / phương hướng,Mina bài 3,8,どちら nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,phía nào / ở đâu,chỗ này,chỗ đó,chỗ kia
1,Địa điểm / phương hướng,Mina bài 3,9,ここは どこですか。 nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,Chỗ này là ở đâu?,Chỗ đó là ở đâu?,Chỗ kia là ở đâu?,Đây là ai?
1,Địa điểm / phương hướng,Mina bài 3,10,こちらは じむしょです。 nghĩa là gì?,Chọn nghĩa tiếng Việt phù hợp.,Đây là văn phòng.,Đó là phòng họp.,Kia là nhà ăn.,Đây là cầu thang.
