group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
5,Âm đơn る〜ん,Âm đơn,41,る,ru,ro,ru,ra,re
5,Âm đơn る〜ん,Âm đơn,42,re,re,れ,ね,わ,る
5,Âm đơn る〜ん,Âm đơn,43,ろ,ro,ro,ru,ra,re
5,Âm đơn る〜ん,Âm đơn,44,わ,wa,ne,wa,re,wo
5,Âm đơn る〜ん,Âm đơn,45,を,o,o,wo,wa,no
5,Âm đơn る〜ん,Âm đơn,46,ん,n,n,m,no,ne
5,Âm đơn る〜ん,Âm đơn,47,あ〜え thiếu?,o,お,こ,そ,の
5,Âm đơn る〜ん,Âm đơn,48,か〜け thiếu?,ko,こ,お,さ,け
5,Âm đơn る〜ん,Âm đơn,49,さ〜せ thiếu?,so,と,そ,こ,の
5,Âm đơn る〜ん,Âm đơn,50,た〜て thiếu?,to,と,そ,の,ほ
