group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,1,ここは　田中さん（　）うちです。,Đây là nhà của anh Tanaka.,の,に,を,へ
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,2,わたしは　毎日　ひとり（　）ごはんを　たべます。,Mỗi ngày tôi ăn cơm một mình.,と,で,を,が
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,3,東京まで　バス（　）行きます。,Tôi đi đến Tokyo bằng xe buýt.,を,に,て,で
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,4,A「すみません。トイレ（　）どこに　ありますか。」B「あそこです。」,"A: Xin lỗi, nhà vệ sinh ở đâu? B: Ở đằng kia.",は,と,に,へ
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,5,いえの　前（　）家ぞくと　しゃしんを　とりました。,Tôi đã chụp ảnh với gia đình ở trước nhà.,に,が,へ,で
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,6,のどが　かわきましたから、水が（　）。,Vì khát nước nên tôi muốn uống nước.,のみます,のみました,のみたいです,のまないです
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,7,A「うち　から　会社まで（　）かかりますか。」B「30分　かかります。」,A: Từ nhà đến công ty mất bao lâu? B: Mất 30 phút.,どのくらい,どう,いつ,いくら
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,8,父は　毎朝　コーヒーを（　）ながら、新聞を　読みます。,Bố tôi mỗi sáng vừa uống cà phê vừa đọc báo.,のむ,のみ,のんで,のまない
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,9,先生「こたえが（　）ときは、わたしに　聞いて　ください。」,"Giáo viên: Khi không hiểu câu trả lời, hãy hỏi tôi.",わかったの,わかって,わかりません,わからない
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,10,これは　わたしが　きのう（　）くつです。,Đây là đôi giày tôi đã mua hôm qua.,買います,買う,買いました,買った
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,11,きのうは　あめでしたから、どこへも（　）。,Vì hôm qua trời mưa nên tôi không đi đâu cả.,行きました,行きませんでした,来ました,来ませんでした
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,12,わたしは　くだものが　好きです。りんごや　みかん（　）を　よく　食べます。,"Tôi thích trái cây. Tôi thường ăn táo, quýt, v.v.",も,など,と,ぐらい
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,13,よく　きこえませんから、ラジオの　おとを　おおきく（　）。,Vì nghe không rõ nên tôi đã làm âm lượng radio to lên.,しました,なりました,ありました,おきました
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,14,A「きのうの　ばん　から　ずっと　雨が（　）ね。」B「ええ。そとへ　出ることが　できませんね。」,"A: Từ tối qua đến giờ mưa suốt nhỉ. B: Vâng, không thể ra ngoài nhỉ.",ふります,ふっています,ふりませんでした,ふりましょう
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,15,木村「田中さん、（　）は　キムさんです。」,"Kimura: Tanaka-san, đây là Kim-san.",これ,こちら,この,ここ
5,Ngữ pháp điền chỗ trống,Zettai Goukaku đề 3 - Ngữ pháp 問題1,16,A「すみませんが、ちょっと　てつだって　くださいませんか。」B「（　）。」,"A: Xin lỗi, bạn có thể giúp tôi một chút không? B: Vâng, được chứ.",ありがとうございます,ええ、いいですよ,いいえ、けっこうです,どうも
