group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,1,“golf” là từ nào?,Chọn từ tiếng Nhật cho “golf”.,ゴルフ,すもう,パチンコ,おちゃ
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,2,“sumo” là từ nào?,Chọn từ tiếng Nhật cho “sumo”.,すもう,ゴルフ,パチンコ,ケーキ
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,3,“trà” là từ nào?,Chọn từ tiếng Nhật cho “trà”.,おちゃ,ケーキ,ゴルフ,すもう
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,4,“bánh kem” là từ nào?,Chọn từ tiếng Nhật cho “bánh kem”.,ケーキ,おちゃ,パチンコ,ダイエット
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,5,“núi Phú Sĩ” là từ nào?,Chọn từ tiếng Nhật cho “núi Phú Sĩ”.,富士山（ふじさん）,日（ひ）,やまださん,たなかさん
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,6,“dần dần” là từ nào?,Chọn từ tiếng Nhật cho “dần dần”.,だんだん,もうすぐ,いちど,でも
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,7,“sắp / chẳng mấy nữa” là từ nào?,Chọn từ tiếng Nhật cho “sắp / chẳng mấy nữa”.,もうすぐ,だんだん,いろいろ,いちども
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,8,“một lần” là từ nào?,Chọn từ tiếng Nhật cho “một lần”.,いちど,いちども,いろいろ,もうすぐ
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,9,“nhiều thứ / nhiều việc” là từ nào?,Chọn từ tiếng Nhật cho “nhiều thứ / nhiều việc”.,いろいろ,でも,だんだん,いちど
8,Việt → Nhật / danh từ và câu nói,Mina bài 19,10,“cạn ly” là từ nào?,Chọn từ tiếng Nhật cho “cạn ly”.,かんぱい,おかげさまで,そうですね,しばらくですね
