group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,1,まっすぐ và まがります khác nhau thế nào?,massugu v magarimasu khc nhau th no,まっすぐ và まがります khác nhau thế nào?,まっすぐ là thẳng; まがります là rẽ,まっすぐ là rẽ; まがります là thẳng,Cả hai đều là chờ,Cả hai đều là bật
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,2,右（みぎ） và 左（ひだり） khác nhau thế nào?,migi v hidari khc nhau th no,右（みぎ） và 左（ひだり） khác nhau thế nào?,右 là bên phải; 左 là bên trái,右 là bên trái; 左 là bên phải,Cả hai đều là thẳng,Cả hai đều là sau đó
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,3,また và あとで khác nhau thế nào?,mata v atode khc nhau th no,また và あとで khác nhau thế nào?,また là lại/nữa; あとで là sau đó/lát nữa,また là sau đó; あとで là lại/nữa,Cả hai đều là ngay lập tức,Cả hai đều là chậm
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,4,もう và もう すこし khác nhau thế nào?,mou v mou sukoshi khc nhau th no,もう và もう すこし khác nhau thế nào?,もう là thêm/đã; もう すこし là thêm một chút nữa,もう là thêm một chút; もう すこし là đã rồi,Cả hai đều là bên phải,Cả hai đều là bản đồ
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,5,いいですよ và これで おねがいします khác nhau thế nào?,iidesuyo v korede onegaishimasu khc nhau th no,いいですよ và これで おねがいします khác nhau thế nào?,いいですよ là được thôi; これで おねがいします là xin dùng cái này,いいですよ là xin dùng cái này; これで おねがいします là được thôi,Cả hai đều là tiền thối lại,Cả hai đều là ủa?
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,6,名前（なまえ） và 住所（じゅうしょ） khác nhau thế nào?,namae v juusho khc nhau th no,名前（なまえ） và 住所（じゅうしょ） khác nhau thế nào?,名前 là tên; 住所 là địa chỉ,名前 là địa chỉ; 住所 là tên,Cả hai đều là bản đồ,Cả hai đều là hộ chiếu
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,7,地図（ちず） và パスポート khác nhau thế nào?,chizu v pasupooto khc nhau th no,地図（ちず） và パスポート khác nhau thế nào?,地図 là bản đồ; パスポート là hộ chiếu,地図 là hộ chiếu; パスポート là bản đồ,Cả hai đều là địa chỉ,Cả hai đều là máy lạnh
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,8,エアコン và 電気（でんき） khác nhau thế nào?,eakon v denki khc nhau th no,エアコン và 電気（でんき） khác nhau thế nào?,エアコン là máy lạnh; 電気 là điện/đèn,エアコン là điện; 電気 là máy lạnh,Cả hai đều là hộ chiếu,Cả hai đều là bản đồ
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,9,さあ và あれ？ khác nhau thế nào?,saa v are khc nhau th no,さあ và あれ？ khác nhau thế nào?,さあ là “ừm/nào”; あれ？ là “ủa/ô?”,さあ là “ủa?”; あれ？ là “nào”,Cả hai đều là “được thôi”,Cả hai đều là “xin dùng cái này”
16,Phân biệt từ dễ nhầm / câu,Mina bài 14,10,おつり và お金（おかね） khác nhau thế nào?,otsuri v ookane khc nhau th no,おつり và お金（おかね） khác nhau thế nào?,おつり là tiền thối lại; お金 là tiền,おつり là tiền; お金 là tiền thối lại,Cả hai đều là muối,Cả hai đều là đường
