stt,repeat_round,segment_type,segment_id,start_sec,end_sec,safe_start_sec,safe_end_sec,start_time,end_time,safe_start_time,safe_end_time,speaker,script_segment,note
1,1,cue,L02-header,0.0,4.0,0,3.9,00:00:00.000,00:00:04.000,00:00:00.000,00:00:03.900,Narrator,第2課 一番,"Tiêu đề bài/nghe, không thuộc dialogue"
2,1,question,Q1-group-question,4.0,23.0,3.92,9.9,00:00:04.000,00:00:23.000,00:00:03.920,00:00:09.900,Narrator,これは何ですか。 / それは何ですか。 / あれは何ですか。,Câu hỏi mẫu trước nhóm 1; có khoảng nghỉ dài tới dialogue 0
3,1,cue,Q1-item-0,10.0,23.0,9.92,22.9,00:00:10.000,00:00:23.000,00:00:09.920,00:00:22.900,Narrator,0,Số thứ tự trong audio; nằm trước D01
4,1,dialogue,D01-A1,23.0,27.0,22.92,26.9,00:00:23.000,00:00:27.000,00:00:22.920,00:00:26.900,A/B,これは何ですか。 / テレホンカードですか。 / いいえ、,Subtitle gom nhiều lượt thoại; nên trim bằng audio nếu cần line-level
5,1,dialogue,D01-A2,27.0,31.0,26.92,30.9,00:00:27.000,00:00:31.000,00:00:26.920,00:00:30.900,A,鍵です。,
6,1,cue,Q1-item-1,31.0,37.0,30.92,36.9,00:00:31.000,00:00:37.000,00:00:30.920,00:00:36.900,Narrator,1,ASR nhận sai nhiều trước câu chính
7,1,dialogue,D02-A1,37.0,44.0,36.92,43.9,00:00:37.000,00:00:44.000,00:00:36.920,00:00:43.900,A/B,あれは日本語ですか。 / いいえ、あれは韓国語です。,Đầu đoạn có ASR rác; script chuẩn bắt đầu từ あれは日本語ですか
8,1,dialogue,D02-A2,44.0,47.0,43.92,46.9,00:00:44.000,00:00:47.000,00:00:43.920,00:00:46.900,A,韓国語です。,Có thể là phần xác nhận 韓国語ですか ở audio; transcript ghi A: 韓国語ですか
9,1,dialogue,D02-A3,47.0,53.0,46.92,52.9,00:00:47.000,00:00:53.000,00:00:46.920,00:00:52.900,A,韓国語ですか。,"Mốc gần item 2, nên dùng safeEnd nếu extract"
10,1,cue,Q1-item-2,53.0,57.0,52.92,56.9,00:00:53.000,00:00:57.000,00:00:52.920,00:00:56.900,Narrator,2,Có ASR rác trước câu chính
11,1,dialogue,D03-AB,57.0,62.0,56.92,61.9,00:00:57.000,00:01:02.000,00:00:56.920,00:01:01.900,A/B,あれはカメラですか。 / はい、そうです。カメラです。,
12,1,cue,Q1-gap-after-D03,62.0,65.0,61.92,64.9,00:01:02.000,00:01:05.000,00:01:01.920,00:01:04.900,Narrator,,Khoảng rỗng/ASR rác hime
13,1,cue,Q1-item-3,65.0,69.0,64.92,68.9,00:01:05.000,00:01:09.000,00:01:04.920,00:01:08.900,Narrator,3,
14,1,dialogue,D04-AB1,69.0,73.0,68.92,72.9,00:01:09.000,00:01:13.000,00:01:08.920,00:01:12.900,A/B,えっ、これ何ですか。 / チョコレートです。どうぞ。,
15,1,dialogue,D04-A2,73.0,78.0,72.92,77.9,00:01:13.000,00:01:18.000,00:01:12.920,00:01:17.900,A,どうもありがとう。,
16,1,cue,L02-section-2,78.0,84.0,77.92,83.9,00:01:18.000,00:01:24.000,00:01:17.920,00:01:23.900,Narrator,二番 / Aですか、Bですか。,Câu hỏi mẫu section 2
17,1,cue,Q2-item-0,84.0,91.0,83.92,90.9,00:01:24.000,00:01:31.000,00:01:23.920,00:01:30.900,Narrator,0,Khoảng trước dialogue 5
18,1,dialogue,D05-A1,91.0,97.0,90.92,96.9,00:01:31.000,00:01:37.000,00:01:30.920,00:01:36.900,A,はじめまして。中島です。これは名刺です。どうぞ。,
19,1,dialogue,D05-B1,97.0,100.0,96.92,99.9,00:01:37.000,00:01:40.000,00:01:36.920,00:01:39.900,B,ありがとうございます。,ASR có thêm rác 'A棟'
20,1,dialogue,D05-B2,100.0,103.0,99.92,102.9,00:01:40.000,00:01:43.000,00:01:39.920,00:01:42.900,B,お名前は中島さんですか。,
21,1,dialogue,D05-A2,103.0,109.0,102.92,108.9,00:01:43.000,00:01:49.000,00:01:42.920,00:01:48.900,A,中島です。,Trong subtitle có lặp 中島さんですか rồi mới 中島です
22,1,cue,Q2-item-1,109.0,112.0,108.92,111.9,00:01:49.000,00:01:52.000,00:01:48.920,00:01:51.900,Narrator,1 / 会社の名前は,
23,1,dialogue,D06-AB,112.0,120.0,111.92,119.9,00:01:52.000,00:02:00.000,00:01:51.920,00:01:59.900,A/B/A/B,会社の名前は123電気ですか。 / ひふみ電気ですか。 / ひふみ電気です。,Transcript có 4 lượt; subtitle gom trong một mốc
24,1,cue,Q2-item-2,120.0,123.0,119.92,122.9,00:02:00.000,00:02:03.000,00:01:59.920,00:02:02.900,Narrator,2,
25,1,dialogue,D07-A1,123.0,125.0,122.92,124.9,00:02:03.000,00:02:05.000,00:02:02.920,00:02:04.900,A,えっと、電話は060-,
26,1,dialogue,D07-A2,125.0,134.0,124.92,133.9,00:02:05.000,00:02:14.000,00:02:04.920,00:02:13.900,A/B,0603の890…。 / すみません。これは1ですか、7ですか。,Gom câu A và câu hỏi B
27,1,dialogue,D07-AB3,134.0,140.0,133.92,139.9,00:02:14.000,00:02:20.000,00:02:13.920,00:02:19.900,A/B,1です。8901です。 / 8901ですね。,
28,1,cue,Q2-item-3,140.0,144.0,139.92,143.9,00:02:20.000,00:02:24.000,00:02:19.920,00:02:23.900,Narrator,3,
29,1,dialogue,D08-A1,144.0,148.0,143.92,147.9,00:02:24.000,00:02:28.000,00:02:23.920,00:02:27.900,A,あの、これどうぞ。ひふみ電気のほんの気持ちです。,
30,1,dialogue,D08-B1,148.0,151.0,147.92,150.9,00:02:28.000,00:02:31.000,00:02:27.920,00:02:30.900,B,え、どうも。これは,
31,1,dialogue,D08-BA,151.0,156.0,150.92,155.9,00:02:31.000,00:02:36.000,00:02:30.920,00:02:35.900,B/A,ボールペンですか、シャープペンシルですか。 / シャープペンシルです。,
32,1,dialogue,D08-A2,156.0,163.0,155.92,162.9,00:02:36.000,00:02:43.000,00:02:35.920,00:02:42.900,A,これからお世話になります。どうぞよろしくお願いします。,
33,1,cue,L02-section-3,163.0,168.0,162.92,167.9,00:02:43.000,00:02:48.000,00:02:42.920,00:02:47.900,Narrator,三番 / それは何ですか。,Câu hỏi mẫu section 3
34,1,cue,Q3-item-0,168.0,168.5,167.92,168.0,00:02:48.000,00:02:48.500,00:02:47.920,00:02:48.000,Narrator,0,
35,1,dialogue,D09-AB1,168.0,174.0,167.92,173.9,00:02:48.000,00:02:54.000,00:02:47.920,00:02:53.900,A/B,それは何ですか。 / 雑誌です。,
