group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
13,Chọn kanji đúng,Mina bài 17,1,“nhớ / ghi nhớ” viết bằng kanji nào?,Chọn cách viết kanji đúng.,覚えます,忘れます,払います,返します
13,Chọn kanji đúng,Mina bài 17,2,“quên” viết bằng kanji nào?,Chọn cách viết kanji đúng.,忘れます,覚えます,脱ぎます,飲みます
13,Chọn kanji đúng,Mina bài 17,3,“trả tiền” viết bằng kanji nào?,Chọn cách viết kanji đúng.,払います,返します,忘れます,入ります
13,Chọn kanji đúng,Mina bài 17,4,“trả lại” viết bằng kanji nào?,Chọn cách viết kanji đúng.,返します,払います,覚えます,脱ぎます
13,Chọn kanji đúng,Mina bài 17,5,“cởi” viết bằng kanji nào?,Chọn cách viết kanji đúng.,脱ぎます,着ます,入ります,飲みます
13,Chọn kanji đúng,Mina bài 17,6,“uống” viết bằng kanji nào?,Chọn cách viết kanji đúng.,飲みます,食べます,入ります,出ます
13,Chọn kanji đúng,Mina bài 17,7,“vào” viết bằng kanji nào?,Chọn cách viết kanji đúng.,入ります,出ます,飲みます,行きます
13,Chọn kanji đúng,Mina bài 17,8,“quan trọng” viết bằng kanji nào?,Chọn cách viết kanji đúng.,大切,大丈夫,危ない,問題
13,Chọn kanji đúng,Mina bài 17,9,“vấn đề / câu hỏi” viết bằng kanji nào?,Chọn cách viết kanji đúng.,問題,答え,時間,病気
13,Chọn kanji đúng,Mina bài 17,10,“bệnh viện” viết bằng kanji nào?,Chọn cách viết kanji đúng.,病院,病気,薬,先生
