group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
10,Điền vào câu,Mina bài 21,1,私（わたし）は いいと＿＿＿。,私（わたし）は いいと＿＿＿。,思います（おもいます）,言います（いいます）,勝ちます（かちます）,負けます（まけます）
10,Điền vào câu,Mina bài 21,2,山田（やまだ）さんは「本当（ほんとう）です」と＿＿＿。,山田（やまだ）さんは「本当（ほんとう）です」と＿＿＿。,言います（いいます）,思います（おもいます）,足ります（たります）,うごきます
10,Điền vào câu,Mina bài 21,3,この 意見（いけん）について どう＿＿＿。,この 意見（いけん）について どう＿＿＿。,思いますか（おもいますか）,言いますか（いいますか）,勝ちますか（かちますか）,やめますか
10,Điền vào câu,Mina bài 21,4,これは 本当（ほんとう）ですか。いいえ、＿＿＿です。,これは 本当（ほんとう）ですか。いいえ、＿＿＿です。,うそ,意見（いけん）,話（はなし）,ニュース
10,Điền vào câu,Mina bài 21,5,私（わたし）も そう＿＿＿。,私（わたし）も そう＿＿＿。,思います（おもいます）,思いません（おもいません）,負けます（まけます）,やめます
10,Điền vào câu,Mina bài 21,6,私（わたし）は そう＿＿＿。,私（わたし）は そう＿＿＿。,思いません（おもいません）,思います（おもいます）,勝ちます（かちます）,あります
10,Điền vào câu,Mina bài 21,7,お金（おかね）が＿＿＿。,お金（おかね）が＿＿＿。,足ります（たります）,役に立ちます（やくにたちます）,負けます（まけます）,やめます
10,Điền vào câu,Mina bài 21,8,この 本（ほん）は＿＿＿。,この 本（ほん）は＿＿＿。,役に立ちます（やくにたちます）,足ります（たります）,うごきます,あります
10,Điền vào câu,Mina bài 21,9,この しごとは＿＿＿です。,この しごとは＿＿＿です。,むだ,試合（しあい）,地球（ちきゅう）,ニュース
10,Điền vào câu,Mina bài 21,10,この みせは＿＿＿です。,この みせは＿＿＿です。,不便（ふべん）,本当（ほんとう）,もちろん,たぶん
