group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
5,Thể て,"Minna bài 14, 15, 16",1,ここに名前を書い＿＿ください。,Koko ni namae o kai___ kudasai.,Hãy viết tên ở đây.,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",2,窓を開け＿＿もいいですか。,Mado o ake___ mo ii desu ka.,Tôi mở cửa sổ được không?,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",3,ここで写真を撮っ＿＿はいけません。,Koko de shashin o to___ wa ikemasen.,Không được chụp ảnh ở đây.,て,た,ます,ない
5,Thể て,"Minna bài 14, 15, 16",4,今、日本語を勉強し＿＿います。,"Ima, nihongo o benkyou shi___ imasu.",Bây giờ tôi đang học tiếng Nhật.,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",5,手を洗っ＿＿から、ごはんを食べます。,"Te o ara___ kara, gohan o tabemasu.","Sau khi rửa tay, tôi ăn cơm.",て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",6,駅へ行っ＿＿、友だちに会います。,"Eki e i___, tomodachi ni aimasu.",Tôi đi đến ga rồi gặp bạn.,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",7,この漢字を読ん＿＿ください。,Kono kanji o yon___ kudasai.,Hãy đọc chữ kanji này.,で,て,た,ない
5,Thể て,"Minna bài 14, 15, 16",8,ここに座っ＿＿もいいです。,Koko ni suwa___ mo ii desu.,Bạn có thể ngồi ở đây.,て,た,ます,ない
5,Thể て,"Minna bài 14, 15, 16",9,電車で食べ＿＿はいけません。,Densha de tabe___ wa ikemasen.,Không được ăn trên tàu điện.,て,た,ます,ない
5,Thể て,"Minna bài 14, 15, 16",10,山田さんは電話をし＿＿います。,Yamada-san wa denwa o shi___ imasu.,Anh Yamada đang gọi điện thoại.,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",11,ドアを閉め＿＿ください。,Doa o shime___ kudasai.,Hãy đóng cửa.,て,た,ない,ます
5,Thể て,"Minna bài 14, 15, 16",12,辞書を使っ＿＿もいいですか。,Jisho o tsuka___ mo ii desu ka.,Tôi dùng từ điển được không?,て,た,ない,ます
