聞きます（ききます）	hỏi
回します（まわします）	xoay / vặn
引きます（ひきます）	kéo
かえます	đổi / thay đổi
さわります	chạm / sờ
出ます（でます）	đi ra / xuất hiện
うごきます	chuyển động / chạy
こしょう	hỏng / sự cố
おゆ	nước nóng
音（おと）	âm thanh / tiếng động

---

歩きます（あるきます）	đi bộ
わたります	băng qua
まがります	rẽ
道（みち）	đường
こうさてん	ngã tư / giao lộ
しんごう	đèn giao thông
角（かど）	góc đường / góc
はし	cầu
ちゅうしゃじょう	bãi đỗ xe
たてもの	tòa nhà

---

まっすぐ	thẳng
右（みぎ）	bên phải
左（ひだり）	bên trái
どうやって	bằng cách nào
どの	cái nào / người nào
どれ	cái nào
サイズ	kích cỡ
何回も（なんかいも）	nhiều lần
〜め	thứ...
さびしい	buồn / cô đơn

---

これでお願いします（これでおねがいします）	xin dùng cái này
おつり	tiền thối lại
