ハンサム	đẹp trai
きれい	đẹp / sạch
しずか	yên tĩnh
にぎやか	nhộn nhịp
ゆうめい	nổi tiếng
しんせつ	tử tế
げんき	khỏe / năng động
ひま	rảnh
べんり	tiện lợi
すてき	tuyệt / đẹp

---

おおきい	to / lớn
ちいさい	nhỏ / bé
あたらしい	mới
ふるい	cũ
いい / よい	tốt
わるい	xấu / không tốt
あつい	nóng
さむい	lạnh
つめたい	lạnh
むずかしい	khó

---

やさしい	dễ / hiền
たかい	cao / đắt
やすい	rẻ
ひくい	thấp
おもしろい	thú vị
おいしい	ngon
いそがしい	bận
たのしい	vui
しろい	trắng
くろい	đen

---

あかい	đỏ
あおい	xanh dương
さくら	hoa anh đào
やま	núi
まち	thành phố / khu phố
たべもの	đồ ăn
ところ	nơi chốn
りょう	ký túc xá
べんきょう	việc học
せいかつ	cuộc sống

---

しごと	công việc
どう	như thế nào
どんな	như thế nào / kiểu gì
どれ	cái nào
とても	rất
あまり	không... lắm
そして	và / hơn nữa
が	nhưng
おげんきですか	bạn khỏe không?
そうですね	ừm / đúng vậy nhỉ

---

なれましたか	đã quen chưa?
もういっぱい いかがですか	thêm một ly nữa không?
いいえ、けっこうです	không, đủ rồi
もう 〜 です	đã ~ rồi
そろそろ しつれいします	tôi xin phép về
また いらっしゃってください	lần sau lại đến nhé
