group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,1,“ngày kia” là từ nào?,“ngày kia” là từ nào?,“ngày kia” là từ nào?,あさって,あした,きのう,おととい
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,2,“sáng nay” là từ nào?,“sáng nay” là từ nào?,“sáng nay” là từ nào?,けさ,こんばん,まいあさ,あさ
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,3,“tối nay” là từ nào?,“tối nay” là từ nào?,“tối nay” là từ nào?,こんばん,けさ,まいばん,ばん
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,4,“mỗi ngày” là từ nào?,“mỗi ngày” là từ nào?,“mỗi ngày” là từ nào?,まいにち,まいあさ,まいばん,きょう
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,5,“thứ Hai” là từ nào?,“thứ Hai” là từ nào?,“thứ Hai” là từ nào?,げつようび,かようび,すいようび,にちようび
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,6,“thứ Sáu” là từ nào?,“thứ Sáu” là từ nào?,“thứ Sáu” là từ nào?,きんようび,もくようび,どようび,にちようび
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,7,“Chủ nhật” là từ nào?,“Chủ nhật” là từ nào?,“Chủ nhật” là từ nào?,にちようび,どようび,げつようび,かようび
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,8,“thứ mấy” là từ nào?,“thứ mấy” là từ nào?,“thứ mấy” là từ nào?,なんようび,なんじ,なんぷん,なんばん
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,9,“vất vả nhỉ” là câu nào?,“vất vả nhỉ” là câu nào?,“vất vả nhỉ” là câu nào?,たいへんですね,どうも,そちら,なんばん
10,Việt → Nhật / thứ và câu thường dùng,Mina bài 4,10,“số mấy” là từ nào?,“số mấy” là từ nào?,“số mấy” là từ nào?,なんばん,ばんごう,なんじ,なんぷん
