group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
9,Điền vào câu / công việc,Mina bài 17,1,きょうは 会社（かいしゃ）で＿＿＿。,kyouha kaishade＿＿＿.,Điền từ/cụm phù hợp vào chỗ trống.,ざんぎょうします,かぜを ひきました,のどが いたいです,おだいじに
9,Điền vào câu / công việc,Mina bài 17,2,あした 東京（とうきょう）へ＿＿＿。,ashita toukyouhe＿＿＿.,Điền từ/cụm phù hợp vào chỗ trống.,しゅっちょうします,ざんぎょうします,ぬぎます,なくします
9,Điền vào câu / công việc,Mina bài 17,3,水（みず）を＿＿＿。,mizuo＿＿＿.,Điền từ/cụm phù hợp vào chỗ trống.,飲みます（のみます）,入ります（はいります）,でかけます,かえします
9,Điền vào câu / công việc,Mina bài 17,4,おふろに＿＿＿。,ofuroni＿＿＿.,Điền từ/cụm phù hợp vào chỗ trống.,入ります（はいります）,飲みます（のみます）,はらいます,わすれます
9,Điền vào câu / công việc,Mina bài 17,5,この しりょうは＿＿＿です。,kono shiryouha＿＿＿desu.,Điền từ/cụm phù hợp vào chỗ trống.,たいせつ,あぶない,きんえん,いたい
9,Điền vào câu / công việc,Mina bài 17,6,ここは＿＿＿です。たばこを すってはいけません。,kokoha＿＿＿desu.tabakoo suttehaikemasen.,Điền từ/cụm phù hợp vào chỗ trống.,きんえん,だいじょうぶ,問題（もんだい）,こたえ
9,Điền vào câu / công việc,Mina bài 17,7,ここは＿＿＿です。気をつけてください。,kokoha＿＿＿desu.気otsuketekudasai.,Điền từ/cụm phù hợp vào chỗ trống.,あぶない,たいせつ,だいじょうぶ,こたえ
9,Điền vào câu / công việc,Mina bài 17,8,この 問題（もんだい）の＿＿＿は 何（なん）ですか。,kono mondaino＿＿＿ha nandesuka.,Điền từ/cụm phù hợp vào chỗ trống.,こたえ,ねつ,かぜ,ほけんしょう
9,Điền vào câu / công việc,Mina bài 17,9,もう 10時（じ）です。＿＿＿、帰ります（かえります）。,"mou 10jidesu.＿＿＿,帰rimasu（kaerimasu）.",Điền từ/cụm phù hợp vào chỗ trống.,ですから,それから,〜までに,〜まで
9,Điền vào câu / công việc,Mina bài 17,10,レポートは 5時（じ）＿＿＿ 出します（だします）。,repo-toha 5ji＿＿＿ 出shimasu（dashimasu）.,Điền từ/cụm phù hợp vào chỗ trống.,までに,まで,ですから,それから
