group_id,group_title,lesson,question_no,question_jp,meaning_vi,option_a,option_b,option_c,option_d
8,Điền vào câu,Mina bài 17,1,漢字（かんじ）を＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,おぼえます,わすれます,はらいます,ぬぎます
8,Điền vào câu,Mina bài 17,2,パスポートを＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,わすれます,おぼえます,飲みます（のみます）,入ります（はいります）
8,Điền vào câu,Mina bài 17,3,ほけんしょうを＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,なくします,しゅっちょうします,ざんぎょうします,だいじょうぶ
8,Điền vào câu,Mina bài 17,4,お金（おかね）を＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,はらいます,かえします,ぬぎます,しんぱいします
8,Điền vào câu,Mina bài 17,5,本（ほん）を＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,かえします,はらいます,でかけます,なくします
8,Điền vào câu,Mina bài 17,6,ちょっと＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,でかけます,入ります（はいります）,飲みます（のみます）,いたい
8,Điền vào câu,Mina bài 17,7,うわぎを＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,ぬぎます,もってきます,もっていきます,はらいます
8,Điền vào câu,Mina bài 17,8,かさを＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,もっていきます,わすれます,おぼえます,だいじょうぶ
8,Điền vào câu,Mina bài 17,9,くすりを＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,もってきます,はらいます,ぬぎます,ざんぎょうします
8,Điền vào câu,Mina bài 17,10,子ども（こども）を＿＿＿。,Điền từ/cụm phù hợp vào chỗ trống.,しんぱいします,飲みます（のみます）,入ります（はいります）,かえします
