group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
4,Danh từ / câu nói,Mina bài 20,1,ことば,,Nghĩa là gì?,từ / ngôn ngữ,giá cả,kimono,visa
4,Danh từ / câu nói,Mina bài 20,2,ぶっか,,Nghĩa là gì?,giá cả / vật giá,từ / ngôn ngữ,nhiều thứ,kimono
4,Danh từ / câu nói,Mina bài 20,3,きもの,,Nghĩa là gì?,kimono,visa,vật giá,ngôn ngữ
4,Danh từ / câu nói,Mina bài 20,4,ビザ,,Nghĩa là gì?,visa,kimono,giá cả,từ
4,Danh từ / câu nói,Mina bài 20,5,いろいろ,,Nghĩa là gì?,nhiều thứ / nhiều loại,nhưng,nếu được,ban đầu
4,Danh từ / câu nói,Mina bài 20,6,けど,,Nghĩa là gì?,nhưng,nếu được,không biết nên làm gì,cần
4,Danh từ / câu nói,Mina bài 20,7,よかったら,,Nghĩa là gì?,nếu được / nếu bạn muốn,nhưng,về nước à,định làm gì
4,Danh từ / câu nói,Mina bài 20,8,くにへ かえるの,,Nghĩa là gì?,bạn về nước à?,bạn định làm gì?,nếu được thì đi nhé,không biết nên làm gì
4,Danh từ / câu nói,Mina bài 20,9,どうするの,,Nghĩa là gì?,bạn định làm gì?,bạn về nước à?,giá cả thế nào?,từ này là gì?
4,Danh từ / câu nói,Mina bài 20,10,どうしようかな,,Nghĩa là gì?,không biết nên làm gì đây,bạn định làm gì?,nếu được thì đi,về nước à?
